source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
1es1727p502,1ES1727p502,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,9.089e-14,5.625e-14,0.09089,0.05625,1e-12,3.96,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,1.2723e-13,6.693e-14,0.12723,0.06693,1e-12,6.03,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,6.667e-14,5.651e-14,0.06667,0.05651,1e-12,2.23,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,4.004e-14,6.305e-14,0.04004,0.06305,1e-12,0.44,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,7.437e-14,5.91e-14,0.07437,0.0591,1e-12,1.92,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,0.0,4.849e-14,0.0,0.04849,1e-12,-0.0,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,0.0,1.4802e-13,0.0,0.14802,1e-12,-0.0,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,3.384e-14,5.234e-14,0.03384,0.05234,1e-12,0.46,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,3.933e-14,4.287e-14,0.03933,0.04287,1e-12,1.21,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,0.0,6.244e-14,0.0,0.06244,1e-12,-0.0,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,0.0,2.277e-14,0.0,0.02277,1e-12,-0.0,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-05-24_2021-05-30,week,59361.5,2021-05-24,2021-05-30,8.64e-14,4.928e-14,0.0864,0.04928,1e-12,4.02,2.6,3.0,1,OK,OK,True
1es1727p502,1ES1727p502,2021-05-31_2021-06-06,week,59368.5,2021-05-31,2021-06-06,0.0,2.6313e-13,0.0,0.26313,1e-12,-0.0,2.6,3.0,1,OK,OK,True
