source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
4c_p42d22,4C_p42d22,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,5.286e-14,4.812e-14,0.05286,0.04812,1e-12,1.71,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,6.147e-14,5.758e-14,0.06147,0.05758,1e-12,1.38,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,9.999999999999999e-18,7.745e-14,1e-05,0.07745,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,0.0,3.262e-14,0.0,0.03262,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,5.917e-14,4.228e-14,0.05917,0.04228,1e-12,2.46,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,1.368e-14,2.453e-14,0.01368,0.02453,1e-12,0.48,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,2.92e-15,9.05e-14,0.00292,0.0905,1e-12,0.01,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,3.275e-14,4.586e-14,0.03275,0.04586,1e-12,0.54,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,9.610000000000001e-15,3.287e-14,0.00961,0.03287,1e-12,0.09,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,8.692e-14,4.779e-14,0.08692,0.04779,1e-12,3.91,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,7.628e-14,4.603e-14,0.07628,0.04603,1e-12,3.52,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-05-24_2021-05-30,week,59361.5,2021-05-24,2021-05-30,0.0,1.626e-14,0.0,0.01626,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-05-31_2021-06-06,week,59368.5,2021-05-31,2021-06-06,0.0,1.0504e-13,0.0,0.10504,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-06-07_2021-06-13,week,59375.5,2021-06-07,2021-06-13,2.036e-14,3.769e-14,0.02036,0.03769,1e-12,0.31,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-06-14_2021-06-20,week,59382.5,2021-06-14,2021-06-20,0.0,5.801e-14,0.0,0.05801,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-06-21_2021-06-27,week,59389.5,2021-06-21,2021-06-27,0.0,4.902e-14,0.0,0.04902,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-06-28_2021-07-04,week,59396.5,2021-06-28,2021-07-04,1.296e-14,3.229e-14,0.01296,0.03229,1e-12,0.19,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-07-05_2021-07-11,week,59403.5,2021-07-05,2021-07-11,0.0,2.5595e-13,0.0,0.25595,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-07-12_2021-07-18,week,59410.5,2021-07-12,2021-07-18,2.349e-14,4.541e-14,0.02349,0.04541,1e-12,0.28,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-07-19_2021-07-25,week,59417.5,2021-07-19,2021-07-25,4e-16,1.7708e-13,0.0004,0.17708,1e-12,0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-07-26_2021-08-01,week,59424.5,2021-07-26,2021-08-01,0.0,4.231e-14,0.0,0.04231,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-08-02_2021-08-08,week,59431.5,2021-08-02,2021-08-08,1.655e-14,4.742e-14,0.01655,0.04742,1e-12,0.12,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-08-09_2021-08-15,week,59438.5,2021-08-09,2021-08-15,0.0,1.308e-14,0.0,0.01308,1e-12,-0.0,2.6,3.0,1,OK,OK,True
4c_p42d22,4C_p42d22,2021-08-16_2021-08-22,week,59445.5,2021-08-16,2021-08-22,6.705e-14,4.082e-14,0.06705,0.04082,1e-12,3.57,2.6,3.0,1,OK,OK,True
