source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
bllac,BLLacertae,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,1.1694e-13,7.747e-14,0.11694,0.07747,1e-12,2.59,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,9.410000000000001e-15,9.907e-14,0.00941,0.09907,1e-12,0.02,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,2.2426e-13,9.238e-14,0.22426,0.09238,1e-12,6.98,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,4.682e-14,4.772e-14,0.04682,0.04772,1e-12,1.55,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,3.817e-14,5.115e-14,0.03817,0.05115,1e-12,0.6,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,1.7504e-13,8.693e-14,0.17504,0.08693,1e-12,4.99,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,4.464e-14,5.264e-14,0.04464,0.05264,1e-12,0.79,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,2.0668e-13,5.426e-14,0.20668,0.05426,1e-12,21.23,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,4.482e-14,4.718e-14,0.04482,0.04718,1e-12,0.99,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,1.0427e-13,4.618e-14,0.10427,0.04618,1e-12,6.76,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,3.665e-14,4.911e-14,0.03665,0.04911,1e-12,0.6,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-05-24_2021-05-30,week,59361.5,2021-05-24,2021-05-30,2.08e-14,3.677e-14,0.0208,0.03677,1e-12,0.36,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-05-31_2021-06-06,week,59368.5,2021-05-31,2021-06-06,1.234e-13,4.631e-14,0.1234,0.04631,1e-12,10.15,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-06-07_2021-06-13,week,59375.5,2021-06-07,2021-06-13,3.441e-14,3.975e-14,0.03441,0.03975,1e-12,0.82,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-06-14_2021-06-20,week,59382.5,2021-06-14,2021-06-20,1.95e-14,4.345e-14,0.0195,0.04345,1e-12,0.21,2.6,3.0,1,OK,OK,True
bllac,BLLacertae,2021-06-21_2021-06-27,week,59389.5,2021-06-21,2021-06-27,0.0,1.502e-14,0.0,0.01502,1e-12,-0.0,2.6,3.0,1,OK,OK,True
