source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
ic310,IC310,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,0.0,2.854e-14,0.0,0.02854,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,1.025e-14,1.5731e-13,0.01025,0.15731,1e-12,0.02,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,0.0,1.816e-14,0.0,0.01816,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,0.0,2.655e-14,0.0,0.02655,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,0.0,2.182e-14,0.0,0.02182,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,9.998e-14,7.586e-14,0.09998,0.07586,1e-12,2.45,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,0.0,2.041e-14,0.0,0.02041,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,2.7600000000000003e-15,1.2746e-13,0.00276,0.12746,1e-12,0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,0.0,6.923e-14,0.0,0.06923,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,1.5e-14,2.737e-14,0.015,0.02737,1e-12,0.36,2.6,3.0,1,OK,OK,True
ic310,IC310,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,0.0,6.677e-14,0.0,0.06677,1e-12,-0.0,2.6,3.0,1,OK,OK,True
