source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
m87,M87,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,6.031e-14,5.934e-14,0.06031,0.05934,1e-12,1.16,2.6,3.0,1,OK,OK,True
m87,M87,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,1.751e-14,6.341e-14,0.01751,0.06341,1e-12,0.08,2.6,3.0,1,OK,OK,True
m87,M87,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,6.244e-14,4.806e-14,0.06244,0.04806,1e-12,1.99,2.6,3.0,1,OK,OK,True
m87,M87,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,0.0,4.605e-14,0.0,0.04605,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,0.0,5.859e-14,0.0,0.05859,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,0.0,1.1445e-13,0.0,0.11445,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,8.49e-14,6.198e-14,0.0849,0.06198,1e-12,2.14,2.6,3.0,1,OK,OK,True
m87,M87,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,0.0,3.3209e-13,0.0,0.33209,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,9.458e-14,5.756e-14,0.09458,0.05756,1e-12,3.28,2.6,3.0,1,OK,OK,True
m87,M87,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,6.560000000000001e-15,7.184e-14,0.00656,0.07184,1e-12,0.02,2.6,3.0,1,OK,OK,True
m87,M87,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,1.044e-14,4.025e-14,0.01044,0.04025,1e-12,0.07,2.6,3.0,1,OK,OK,True
m87,M87,2021-05-24_2021-05-30,week,59361.5,2021-05-24,2021-05-30,7.068e-14,4.996e-14,0.07068,0.04996,1e-12,2.45,2.6,3.0,1,OK,OK,True
m87,M87,2021-05-31_2021-06-06,week,59368.5,2021-05-31,2021-06-06,5.310000000000001e-15,9.003e-14,0.00531,0.09003,1e-12,0.01,2.6,3.0,1,OK,OK,True
m87,M87,2021-06-07_2021-06-13,week,59375.5,2021-06-07,2021-06-13,0.0,5.515e-14,0.0,0.05515,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-06-14_2021-06-20,week,59382.5,2021-06-14,2021-06-20,0.0,2.935e-14,0.0,0.02935,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-06-21_2021-06-27,week,59389.5,2021-06-21,2021-06-27,0.0,3.422e-14,0.0,0.03422,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-06-28_2021-07-04,week,59396.5,2021-06-28,2021-07-04,0.0,6.989e-14,0.0,0.06989,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-07-05_2021-07-11,week,59403.5,2021-07-05,2021-07-11,0.0,5.952e-14,0.0,0.05952,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-07-12_2021-07-18,week,59410.5,2021-07-12,2021-07-18,7.905e-14,6.35e-14,0.07905,0.0635,1e-12,1.82,2.6,3.0,1,OK,OK,True
m87,M87,2021-07-19_2021-07-25,week,59417.5,2021-07-19,2021-07-25,1.0537e-13,5.651e-14,0.10537,0.05651,1e-12,4.53,2.6,3.0,1,OK,OK,True
m87,M87,2021-07-26_2021-08-01,week,59424.5,2021-07-26,2021-08-01,5.59e-14,5.868e-14,0.0559,0.05868,1e-12,1.23,2.6,3.0,1,OK,OK,True
m87,M87,2021-08-02_2021-08-08,week,59431.5,2021-08-02,2021-08-08,0.0,1.58e-14,0.0,0.0158,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-08-09_2021-08-15,week,59438.5,2021-08-09,2021-08-15,8.054e-14,4.704e-14,0.08054,0.04704,1e-12,3.82,2.6,3.0,1,OK,OK,True
m87,M87,2021-08-16_2021-08-22,week,59445.5,2021-08-16,2021-08-22,4.834e-14,4.744e-14,0.04834,0.04744,1e-12,1.23,2.6,3.0,1,OK,OK,True
m87,M87,2021-08-23_2021-08-29,week,59452.5,2021-08-23,2021-08-29,6.459e-14,5.177e-14,0.06459,0.05177,1e-12,1.85,2.6,3.0,1,OK,OK,True
m87,M87,2021-08-30_2021-09-05,week,59459.5,2021-08-30,2021-09-05,1.9999999999999998e-17,1.3086e-13,2e-05,0.13086,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-09-06_2021-09-12,week,59466.5,2021-09-06,2021-09-12,4.593e-14,4.824e-14,0.04593,0.04824,1e-12,1.05,2.6,3.0,1,OK,OK,True
m87,M87,2021-09-13_2021-09-19,week,59473.5,2021-09-13,2021-09-19,4.505e-14,6.335e-14,0.04505,0.06335,1e-12,0.63,2.6,3.0,1,OK,OK,True
m87,M87,2021-09-20_2021-09-26,week,59480.5,2021-09-20,2021-09-26,2.888e-14,6.883e-14,0.02888,0.06883,1e-12,0.18,2.6,3.0,1,OK,OK,True
m87,M87,2021-09-27_2021-10-03,week,59487.5,2021-09-27,2021-10-03,8.335e-14,4.428e-14,0.08335,0.04428,1e-12,5.26,2.6,3.0,1,OK,OK,True
m87,M87,2021-10-04_2021-10-10,week,59494.5,2021-10-04,2021-10-10,2.425e-14,4.243e-14,0.02425,0.04243,1e-12,0.36,2.6,3.0,1,OK,OK,True
m87,M87,2021-10-11_2021-10-17,week,59501.5,2021-10-11,2021-10-17,7.474e-14,5.263e-14,0.07474,0.05263,1e-12,2.68,2.6,3.0,1,OK,OK,True
m87,M87,2021-10-18_2021-10-24,week,59508.5,2021-10-18,2021-10-24,1.2408e-13,5.79e-14,0.12408,0.0579,1e-12,5.69,2.6,3.0,1,OK,OK,True
m87,M87,2021-10-25_2021-10-31,week,59515.5,2021-10-25,2021-10-31,6.174e-14,4.582e-14,0.06174,0.04582,1e-12,2.25,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-01_2021-11-07,week,59522.5,2021-11-01,2021-11-07,1.445e-14,4.711e-14,0.01445,0.04711,1e-12,0.1,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-08_2021-11-14,week,59529.5,2021-11-08,2021-11-14,0.0,1.3584e-13,0.0,0.13584,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-15_2021-11-21,week,59536.5,2021-11-15,2021-11-21,0.0,1.3215e-13,0.0,0.13215,1e-12,-0.0,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-22_2021-11-28,week,59543.5,2021-11-22,2021-11-28,5.006e-14,4.819e-14,0.05006,0.04819,1e-12,1.35,2.6,3.0,1,OK,OK,True
m87,M87,2021-11-29_2021-12-05,week,59550.5,2021-11-29,2021-12-05,7.15e-15,8.581e-14,0.00715,0.08581,1e-12,0.02,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-06_2021-12-12,week,59557.5,2021-12-06,2021-12-12,9.075e-14,4.556e-14,0.09075,0.04556,1e-12,5.66,2.6,3.0,1,OK,OK,True
m87,M87,2021-12-13_2021-12-19,week,59564.5,2021-12-13,2021-12-19,8.905e-14,4.98e-14,0.08905,0.0498,1e-12,4.18,2.6,3.0,1,OK,OK,True
