source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
mkn421,Mkn421,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,7.3304e-13,7.684e-14,0.73304,0.07684,1e-12,138.19,2.6,3.0,32,OK,OK,True
mkn421,Mkn421,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,9.3123e-13,7.917e-14,0.93123,0.07917,1e-12,214.64,2.6,3.0,27,OK,OK,True
mkn421,Mkn421,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,4.9326e-13,6.325e-14,0.49326,0.06325,1e-12,84.21,2.6,3.0,36,OK,OK,True
mkn421,Mkn421,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,5.6897e-13,7.79e-14,0.56897,0.0779,1e-12,74.35,2.6,3.0,31,OK,OK,True
mkn421,Mkn421,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,3.9261e-13,6.199e-14,0.39261,0.06199,1e-12,53.55,2.6,3.0,39,OK,OK,True
mkn421,Mkn421,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,7.5055e-13,7.184e-14,0.75055,0.07184,1e-12,167.3,2.6,3.0,31,OK,OK,True
mkn421,Mkn421,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,3.3241e-13,6.95e-14,0.33241,0.0695,1e-12,30.32,2.6,3.0,36,OK,OK,True
mkn421,Mkn421,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,5.4033e-13,6.819e-14,0.54033,0.06819,1e-12,91.72,2.6,3.0,42,OK,OK,True
mkn421,Mkn421,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,5.1885e-13,6.244e-14,0.51885,0.06244,1e-12,106.39,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,5.2875e-13,6.103e-14,0.52875,0.06103,1e-12,107.56,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-05-17_2021-05-23,week,59354.5,2021-05-17,2021-05-23,2.6825e-13,5.301e-14,0.26825,0.05301,1e-12,34.21,2.6,3.0,37,OK,OK,True
mkn421,Mkn421,2021-05-24_2021-05-30,week,59361.5,2021-05-24,2021-05-30,2.1419e-13,4.903e-14,0.21419,0.04903,1e-12,25.4,2.6,3.0,41,OK,OK,True
mkn421,Mkn421,2021-05-31_2021-06-06,week,59368.5,2021-05-31,2021-06-06,1.8614e-13,5.017e-14,0.18614,0.05017,1e-12,18.46,2.6,3.0,42,OK,OK,True
