source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
ngc1275,NGC1275,2021-03-08_2021-03-14,week,59284.5,2021-03-08,2021-03-14,9.999999999999999e-18,1.003e-13,1e-05,0.1003,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-03-15_2021-03-21,week,59291.5,2021-03-15,2021-03-21,1.5242e-13,8.85e-14,0.15242,0.0885,1e-12,4.1,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-03-22_2021-03-28,week,59298.5,2021-03-22,2021-03-28,2.302e-14,3.038e-14,0.02302,0.03038,1e-12,0.79,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-03-29_2021-04-04,week,59305.5,2021-03-29,2021-04-04,0.0,3.089e-14,0.0,0.03089,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-04-05_2021-04-11,week,59312.5,2021-04-05,2021-04-11,0.0,1.732e-14,0.0,0.01732,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-04-12_2021-04-18,week,59319.5,2021-04-12,2021-04-18,5.012e-14,6.62e-14,0.05012,0.0662,1e-12,0.73,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-04-19_2021-04-25,week,59326.5,2021-04-19,2021-04-25,1.406e-14,3.654e-14,0.01406,0.03654,1e-12,0.16,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-04-26_2021-05-02,week,59333.5,2021-04-26,2021-05-02,4.622e-14,3.678e-14,0.04622,0.03678,1e-12,1.92,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-05-03_2021-05-09,week,59340.5,2021-05-03,2021-05-09,0.0,1.5137e-13,0.0,0.15137,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2021-05-10_2021-05-16,week,59347.5,2021-05-10,2021-05-16,0.0,2.035e-14,0.0,0.02035,1e-12,-0.0,2.6,3.0,1,OK,OK,True
