mjd,fermi_flux,fermi_flux_err
59284.5,1.3573487e-07,3.8164735e-08
59291.5,8.41625e-08,2.4865908e-08
59298.5,2.371618e-07,3.7790524e-08
59305.5,2.5166506e-07,3.1954812e-08
59312.5,2.2696608e-07,3.556756e-08
59319.5,1.8533962e-07,3.064582e-08
59326.5,1.4060922e-07,2.3763704e-08
59333.5,1.9261256e-07,2.7695604e-08
59340.5,1.8239153e-07,3.8593665e-08
59347.5,1.4101606e-07,3.3363623e-08
59354.5,3.1302642e-07,4.4928765e-08
59361.5,1.1702845e-07,3.748874e-08
59368.5,1.5871576e-07,2.898935e-08
59375.5,2.1881806e-07,2.79249e-08
59382.5,1.9467856e-07,2.9070693e-08
59389.5,1.6811212e-07,3.7880017e-08
59396.5,1.0437145e-07,2.900629e-08
59403.5,1.6522912e-07,3.6046337e-08
59410.5,9.429133e-08,1.2588124e-08
59417.5,1.16657255e-07,3.687029e-08
59424.5,2.0821047e-07,3.7836074e-08
59431.5,1.088943e-07,3.3903277e-08
59438.5,9.727544e-08,3.3118184e-08
59445.5,1.292345e-07,3.166998e-08
59452.5,1.1378768e-07,2.7603553e-08
59459.5,2.1887848e-07,3.395405e-08
59466.5,1.7860567e-07,6.927372e-08
59473.5,1.1782327e-07,4.202467e-08
59480.5,1.05649946e-07,1.0587469e-08
59487.5,1.2421135e-07,2.4836412e-08
59494.5,1.10717984e-07,2.1342002e-08
59501.5,2.1867983e-07,3.5264854e-08
59508.5,2.1048822e-07,1.8062387e-08
59515.5,1.3528154e-07,2.4867278e-08
59522.5,8.4594e-08,1.9980543e-08
59529.5,2.1945118e-07,2.4763796e-08
59536.5,1.7702561e-07,2.5211822e-08
59543.5,1.6512415e-07,2.471896e-08
59550.5,1.4057791e-07,1.1065738e-08
59557.5,1.7646673e-07,1.8933637e-08
59564.5,1.9476414e-07,3.2202376e-08
59571.5,2.1273605e-07,3.8432702e-08
59578.5,1.4357695e-07,3.4643804e-08
59585.5,1.7033508e-07,1.9483366e-08
59592.5,1.79894e-07,3.9272496e-08
59599.5,2.060666e-07,1.1125085e-08
59606.5,4.6011213e-08,2.2530859e-08
59613.5,2.2055072e-07,3.6970523e-08
59620.5,1.526816e-07,3.183508e-08
59634.5,4.1798924e-07,1.5189366e-07
59641.5,2.3456789e-07,3.450404e-08
59648.5,1.735478e-07,3.7732214e-08
59655.5,1.6673852e-07,4.1471104e-08
59662.5,1.3459781e-07,3.1434034e-08
59669.5,1.7679471e-07,2.4817833e-08
59676.5,1.7788555e-07,3.184691e-08
59683.5,1.0999294e-07,3.124134e-08
59690.5,1.2412238e-07,2.801561e-08
59697.5,1.9401237e-07,2.6160622e-08
59704.5,2.0225166e-07,1.1413436e-08
59711.5,2.5208337e-07,4.2083794e-08
59718.5,2.7827144e-07,3.6753207e-08
59725.5,2.3229298e-07,3.415863e-08
59732.5,1.5309203e-07,1.9195838e-08
59739.5,1.4089089e-07,2.4565576e-08
59746.5,1.519832e-07,2.268685e-08
59753.5,3.130482e-07,3.8500968e-08
59760.5,3.7322778e-07,3.1626634e-08
59767.5,3.3180106e-07,4.136805e-08
59774.5,2.751445e-07,3.5985117e-08
59781.5,3.6290135e-07,4.9179175e-08
59788.5,2.6805802e-07,5.6562076e-08
59795.5,2.5015297e-07,4.0612555e-08
59802.5,2.1171762e-07,4.136011e-08
59809.5,2.4961236e-07,4.2897366e-08
59816.5,2.1162361e-07,3.9895426e-08
59823.5,1.4248545e-07,2.9321592e-08
59830.5,1.5823781e-07,3.259373e-08
59837.5,2.950596e-07,1.1143554e-07
59844.5,1.882266e-07,3.3725893e-08
59851.5,1.9744887e-07,3.0071476e-08
59858.5,2.796834e-07,3.2356716e-08
59865.5,2.8918976e-07,3.0344133e-08
59872.5,2.0780783e-07,3.235454e-08
59879.5,2.4153275e-07,3.3883143e-08
59886.5,2.053692e-07,1.4645264e-08
59893.5,1.9940916e-07,3.820667e-08
