source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-03-08_2021-03-08,59281.5,2021-03-08,2021-03-08,3,2.6,3.0,9.36e-14,3.5443e-13,9.36e-14,3.5443e-13,0.0936,0.35443,1e-12,0.07,OK
Mkn421,day,2021-03-09_2021-03-09,59282.5,2021-03-09,2021-03-09,6,2.6,3.0,4.7658e-13,1.5544e-13,4.7658e-13,1.5544e-13,0.47658,0.15544,1e-12,13.21,OK
Mkn421,day,2021-03-10_2021-03-10,59283.5,2021-03-10,2021-03-10,6,2.6,3.0,7.0876e-13,1.6764e-13,7.0876e-13,1.6764e-13,0.70876,0.16764,1e-12,29.05,OK
Mkn421,day,2021-03-11_2021-03-11,59284.5,2021-03-11,2021-03-11,5,2.6,3.0,9.6552e-13,1.7838e-13,9.6552e-13,1.7838e-13,0.96552,0.17838,1e-12,42.83,OK
Mkn421,day,2021-03-12_2021-03-12,59285.5,2021-03-12,2021-03-12,6,2.6,3.0,9.586e-13,1.8744e-13,9.586e-13,1.8744e-13,0.9586,0.18744,1e-12,41.21,OK
Mkn421,day,2021-03-13_2021-03-13,59286.5,2021-03-13,2021-03-13,5,2.6,3.0,7.6504e-13,1.89e-13,7.6504e-13,1.89e-13,0.76504,0.189,1e-12,25.52,OK
Mkn421,day,2021-03-15_2021-03-15,59288.5,2021-03-15,2021-03-15,6,2.6,3.0,1.2621e-12,1.8988e-13,1.2621e-12,1.8988e-13,1.2621,0.18988,1e-12,67.22,OK
Mkn421,day,2021-03-16_2021-03-16,59289.5,2021-03-16,2021-03-16,4,2.6,3.0,1.30422e-12,1.8371e-13,1.30422e-12,1.8371e-13,1.30422,0.18371,1e-12,90.05,OK
Mkn421,day,2021-03-17_2021-03-17,59290.5,2021-03-17,2021-03-17,4,2.6,3.0,7.0842e-13,2.0487e-13,7.0842e-13,2.0487e-13,0.70842,0.20487,1e-12,16.89,OK
Mkn421,day,2021-03-18_2021-03-18,59291.5,2021-03-18,2021-03-18,3,2.6,3.0,3.1336e-13,2.0016e-13,3.1336e-13,2.0016e-13,0.31336,0.20016,1e-12,4.39,OK
Mkn421,day,2021-03-19_2021-03-19,59292.5,2021-03-19,2021-03-19,4,2.6,3.0,8.3401e-13,2.5318e-13,8.3401e-13,2.5318e-13,0.83401,0.25318,1e-12,17.5,OK
Mkn421,day,2021-03-20_2021-03-20,59293.5,2021-03-20,2021-03-20,3,2.6,3.0,5.9564e-13,2.575e-13,5.9564e-13,2.575e-13,0.59564,0.2575,1e-12,7.74,OK
Mkn421,day,2021-03-21_2021-03-21,59294.5,2021-03-21,2021-03-21,3,2.6,3.0,8.7882e-13,1.7488e-13,8.7882e-13,1.7488e-13,0.87882,0.17488,1e-12,35.38,OK
Mkn421,day,2021-03-22_2021-03-22,59295.5,2021-03-22,2021-03-22,3,2.6,3.0,8.0682e-13,2.0327e-13,8.0682e-13,2.0327e-13,0.80682,0.20327,1e-12,24.69,OK
Mkn421,day,2021-03-23_2021-03-23,59296.5,2021-03-23,2021-03-23,6,2.6,3.0,4.3058e-13,1.4943e-13,4.3058e-13,1.4943e-13,0.43058,0.14943,1e-12,11.86,OK
Mkn421,day,2021-03-24_2021-03-24,59297.5,2021-03-24,2021-03-24,6,2.6,3.0,4.3457e-13,1.5637e-13,4.3457e-13,1.5637e-13,0.43457,0.15637,1e-12,9.9,OK
Mkn421,day,2021-03-25_2021-03-25,59298.5,2021-03-25,2021-03-25,6,2.6,3.0,3.1883e-13,1.6398e-13,3.1883e-13,1.6398e-13,0.31883,0.16398,1e-12,4.48,OK
Mkn421,day,2021-03-26_2021-03-26,59299.5,2021-03-26,2021-03-26,5,2.6,3.0,7.5751e-13,1.7791e-13,7.5751e-13,1.7791e-13,0.75751,0.17791,1e-12,25.52,OK
Mkn421,day,2021-03-27_2021-03-27,59300.5,2021-03-27,2021-03-27,5,2.6,3.0,4.7269e-13,1.7186e-13,4.7269e-13,1.7186e-13,0.47269,0.17186,1e-12,10.2,OK
Mkn421,day,2021-03-28_2021-03-28,59301.5,2021-03-28,2021-03-28,5,2.6,3.0,3.1505e-13,1.5594e-13,3.1505e-13,1.5594e-13,0.31505,0.15594,1e-12,6.37,OK
Mkn421,day,2021-03-29_2021-03-29,59302.5,2021-03-29,2021-03-29,5,2.6,3.0,4.3641e-13,1.979e-13,4.3641e-13,1.979e-13,0.43641,0.1979,1e-12,5.9,OK
Mkn421,day,2021-03-30_2021-03-30,59303.5,2021-03-30,2021-03-30,6,2.6,3.0,4.5812e-13,1.8819e-13,4.5812e-13,1.8819e-13,0.45812,0.18819,1e-12,8.89,OK
Mkn421,day,2021-03-31_2021-03-31,59304.5,2021-03-31,2021-03-31,6,2.6,3.0,5.1078e-13,1.8401e-13,5.1078e-13,1.8401e-13,0.51078,0.18401,1e-12,10.79,OK
Mkn421,day,2021-04-01_2021-04-01,59305.5,2021-04-01,2021-04-01,6,2.6,3.0,5.148e-13,1.6869e-13,5.148e-13,1.6869e-13,0.5148,0.16869,1e-12,12.47,OK
Mkn421,day,2021-04-03_2021-04-03,59307.5,2021-04-03,2021-04-03,2,2.6,3.0,6.2087e-13,2.2242e-13,6.2087e-13,2.2242e-13,0.62087,0.22242,1e-12,10.56,OK
Mkn421,day,2021-04-04_2021-04-04,59308.5,2021-04-04,2021-04-04,5,2.6,3.0,9.0611e-13,1.914e-13,9.0611e-13,1.914e-13,0.90611,0.1914,1e-12,33.52,OK
Mkn421,day,2021-04-05_2021-04-05,59309.5,2021-04-05,2021-04-05,6,2.6,3.0,7.836e-13,1.6779e-13,7.836e-13,1.6779e-13,0.7836,0.16779,1e-12,34.81,OK
Mkn421,day,2021-04-06_2021-04-06,59310.5,2021-04-06,2021-04-06,4,2.6,3.0,4.7374e-13,1.5201e-13,4.7374e-13,1.5201e-13,0.47374,0.15201,1e-12,13.55,OK
