source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,week,2021-03-08_2021-03-14,59284.5,2021-03-08,2021-03-14,32,2.6,3.0,7.3304e-13,7.684e-14,7.3304e-13,7.684e-14,0.73304,0.07684,1e-12,138.19,OK
Mkn421,week,2021-03-15_2021-03-21,59291.5,2021-03-15,2021-03-21,27,2.6,3.0,9.3123e-13,7.917e-14,9.3123e-13,7.917e-14,0.93123,0.07917,1e-12,214.64,OK
Mkn421,week,2021-03-22_2021-03-28,59298.5,2021-03-22,2021-03-28,36,2.6,3.0,4.9326e-13,6.325e-14,4.9326e-13,6.325e-14,0.49326,0.06325,1e-12,84.21,OK
Mkn421,week,2021-03-29_2021-04-04,59305.5,2021-03-29,2021-04-04,31,2.6,3.0,5.6897e-13,7.79e-14,5.6897e-13,7.79e-14,0.56897,0.0779,1e-12,74.35,OK
Mkn421,week,2021-04-05_2021-04-11,59312.5,2021-04-05,2021-04-11,39,2.6,3.0,3.9261e-13,6.199e-14,3.9261e-13,6.199e-14,0.39261,0.06199,1e-12,53.55,OK
Mkn421,week,2021-04-12_2021-04-18,59319.5,2021-04-12,2021-04-18,31,2.6,3.0,7.5055e-13,7.184e-14,7.5055e-13,7.184e-14,0.75055,0.07184,1e-12,167.3,OK
Mkn421,week,2021-04-19_2021-04-25,59326.5,2021-04-19,2021-04-25,36,2.6,3.0,3.3241e-13,6.95e-14,3.3241e-13,6.95e-14,0.33241,0.0695,1e-12,30.32,OK
Mkn421,week,2021-04-26_2021-05-02,59333.5,2021-04-26,2021-05-02,42,2.6,3.0,5.4033e-13,6.819e-14,5.4033e-13,6.819e-14,0.54033,0.06819,1e-12,91.72,OK
Mkn421,week,2021-05-03_2021-05-09,59340.5,2021-05-03,2021-05-09,41,2.6,3.0,5.1885e-13,6.244e-14,5.1885e-13,6.244e-14,0.51885,0.06244,1e-12,106.39,OK
Mkn421,week,2021-05-10_2021-05-16,59347.5,2021-05-10,2021-05-16,41,2.6,3.0,5.2875e-13,6.103e-14,5.2875e-13,6.103e-14,0.52875,0.06103,1e-12,107.56,OK
Mkn421,week,2021-05-17_2021-05-23,59354.5,2021-05-17,2021-05-23,37,2.6,3.0,2.6825e-13,5.301e-14,2.6825e-13,5.301e-14,0.26825,0.05301,1e-12,34.21,OK
Mkn421,week,2021-05-24_2021-05-30,59361.5,2021-05-24,2021-05-30,41,2.6,3.0,2.1419e-13,4.903e-14,2.1419e-13,4.903e-14,0.21419,0.04903,1e-12,25.4,OK
Mkn421,week,2021-05-31_2021-06-06,59368.5,2021-05-31,2021-06-06,42,2.6,3.0,1.8614e-13,5.017e-14,1.8614e-13,5.017e-14,0.18614,0.05017,1e-12,18.46,OK
Mkn421,week,2021-06-07_2021-06-13,59375.5,2021-06-07,2021-06-13,42,2.6,3.0,4.6211e-13,5.691e-14,4.6211e-13,5.691e-14,0.46211,0.05691,1e-12,94.59,OK
Mkn421,week,2021-06-14_2021-06-20,59382.5,2021-06-14,2021-06-20,41,2.6,3.0,8.6779e-13,6.456e-14,8.6779e-13,6.456e-14,0.86779,0.06456,1e-12,290.66,OK
Mkn421,week,2021-06-21_2021-06-27,59389.5,2021-06-21,2021-06-27,40,2.6,3.0,4.3197e-13,5.88e-14,4.3197e-13,5.88e-14,0.43197,0.0588,1e-12,80.68,OK
Mkn421,week,2021-06-28_2021-07-04,59396.5,2021-06-28,2021-07-04,42,2.6,3.0,3.9548e-13,5.652e-14,3.9548e-13,5.652e-14,0.39548,0.05652,1e-12,70.13,OK
