mjd,flux,flux_err
59501.5,2.5233e-13,5.826e-14
59508.5,5.8795e-13,6.369e-14
59515.5,5.9302e-13,5.889e-14
59522.5,2.2639e-13,5.575e-14
59529.5,3.1164e-13,5.722e-14
59536.5,1.6281e-13,5.04e-14
59543.5,2.8863e-13,5.448e-14
59550.5,4.6362e-13,5.637e-14
59557.5,2.7573e-13,5.383e-14
59564.5,3.5168e-13,5.442e-14
59571.5,4.5045e-13,6.016e-14
59578.5,8.702e-13,6.409e-14
59585.5,6.6416e-13,6.338e-14
59592.5,9.2058e-13,6.553e-14
59599.5,1.75829e-12,7.493e-14
59606.5,5.8554e-13,5.947e-14
59613.5,4.5553e-13,5.944e-14
59620.5,6.0989e-13,6.266e-14
59627.5,4.1483e-13,5.902e-14
59634.5,2.0219e-13,5.132e-14
59641.5,3.5562e-13,5.533e-14
59648.5,2.5405e-13,5.242e-14
59655.5,1.009e-14,3.462e-14
59662.5,1.4905e-13,4.685e-14
59669.5,2.6881e-13,5.156e-14
59676.5,4.645e-13,5.192e-14
59683.5,3.1379e-13,5.186e-14
59690.5,8.067e-14,4.085e-14
59697.5,2.1095e-13,4.984e-14
59704.5,3.7444e-13,5.466e-14
59711.5,9.1194e-13,6.437e-14
59718.5,2.32698e-12,7.917e-14
59725.5,7.4217e-13,6.156e-14
59732.5,9.3368e-13,6.658e-14
59739.5,8.5774e-13,6.567e-14
59746.5,6.691e-13,6.625e-14
59753.5,6.3853e-13,7.264e-14
59760.5,5.924e-13,6.823e-14
59767.5,1.0677e-12,7.33e-14
59774.5,7.0604e-13,6.336e-14
59781.5,8.8225e-13,6.608e-14
59788.5,6.5442e-13,6.267e-14
59795.5,1.12543e-12,6.933e-14
59802.5,1.59064e-12,7.35e-14
59809.5,4.5161e-13,5.999e-14
59816.5,5.4125e-13,6.136e-14
59823.5,3.158e-13,5.682e-14
59830.5,4.707e-13,5.765e-14
59837.5,5.7835e-13,6.496e-14
59844.5,6.0026e-13,6.445e-14
59851.5,1.26296e-12,8.382e-14
59858.5,1.69208e-12,7.283e-14
59865.5,1.37159e-12,7.413e-14
59872.5,1.82739e-12,7.633e-14
59879.5,1.40638e-12,7.084e-14
59886.5,8.4811e-13,6.592e-14
59893.5,5.8835e-13,5.885e-14
59900.5,8.0624e-13,6.585e-14
59907.5,9.5159e-13,6.801e-14
59914.5,2.79237e-12,8.275e-14
59921.5,1.66238e-12,7.448e-14
59928.5,1.12124e-12,7.02e-14
59935.5,9.0818e-13,6.806e-14
59942.5,1.8845e-12,8.421e-14
59949.5,2.36504e-12,8.127e-14
59956.5,3.93202e-12,9.136e-14
59963.5,3.39575e-12,8.754e-14
59970.5,2.08959e-12,7.786e-14
59977.5,1.47459e-12,7.334e-14
59984.5,2.20606e-12,7.974e-14
59991.5,1.36916e-12,7.099e-14
59998.5,6.0422e-13,6.284e-14
60005.5,4.9766e-13,5.913e-14
60012.5,5.4198e-13,6.007e-14
60019.5,6.9345e-13,6.307e-14
60026.5,9.2177e-13,6.675e-14
60033.5,1.03591e-12,6.734e-14
60040.5,1.74189e-12,7.516e-14
60047.5,1.43636e-12,7.165e-14
60054.5,3.59103e-12,8.768e-14
60061.5,1.41569e-12,7.586e-14
60068.5,1.68008e-12,7.349e-14
60075.5,2.75254e-12,8.246e-14
60082.5,1.72098e-12,7.564e-14
60089.5,2.33254e-12,7.784e-14
60096.5,8.3023e-13,6.323e-14
60103.5,6.9639e-13,6.025e-14
60110.5,6.2575e-13,6.031e-14
60117.5,1.67897e-12,7.214e-14
60124.5,1.7448e-12,7.283e-14
60131.5,3.1056e-13,5.435e-14
60138.5,1.11672e-12,6.567e-14
60145.5,1.2252e-12,6.698e-14
60152.5,8.8685e-13,6.781e-14
60159.5,8.4907e-13,6.282e-14
60166.5,8.1507e-13,6.482e-14
60173.5,1.36275e-12,1.2338e-13
60180.5,9.3089e-13,7.776e-14
60187.5,9.8693e-13,6.642e-14
60194.5,7.6911e-13,6.179e-14
60201.5,1.95287e-12,7.499e-14
60208.5,3.0334e-12,8.209e-14
60215.5,2.10127e-12,7.986e-14
60222.5,1.66628e-12,7.176e-14
60229.5,2.53619e-12,8.09e-14
60236.5,4.12671e-12,9.373e-14
60243.5,2.95763e-12,8.144e-14
60250.5,3.12935e-12,1.3672e-13
60257.5,3.08278e-12,8.528e-14
60264.5,1.35215e-12,7.247e-14
60271.5,1.06218e-12,6.819e-14
60278.5,1.69872e-12,7.965e-14
60285.5,1.22479e-12,6.985e-14
60292.5,1.8667e-12,7.579e-14
60299.5,1.92266e-12,7.723e-14
60306.5,1.19091e-12,7.076e-14
60313.5,8.3313e-13,6.576e-14
60320.5,7.9363e-13,6.375e-14
60327.5,8.6398e-13,6.529e-14
60334.5,1.09395e-12,6.928e-14
60341.5,3.6134e-12,9.119e-14
60348.5,3.24126e-12,8.668e-14
60355.5,1.45638e-12,7.245e-14
60362.5,5.2484e-13,5.887e-14
60369.5,9.1917e-13,6.576e-14
60376.5,8.5852e-13,6.408e-14
60383.5,1.50629e-12,6.947e-14
60390.5,1.5131e-12,7.31e-14
60397.5,1.07617e-12,6.51e-14
60404.5,6.2348e-13,6.006e-14
60411.5,8.089e-14,3.997e-14
60418.5,3.402e-14,4.053e-14
60425.5,1.8796e-13,5.172e-14
60432.5,2.6822e-13,5.197e-14
60439.5,1.02634e-12,6.524e-14
60446.5,2.23284e-12,7.703e-14
60453.5,9.4109e-13,6.505e-14
60460.5,1.3579e-12,7.608e-14
60467.5,8.021e-13,6.278e-14
60474.5,6.5799e-13,6.057e-14
60481.5,7.3621e-13,6.459e-14
60488.5,4.5372e-13,5.791e-14
60495.5,9.0038e-13,6.664e-14
