source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn501,day,2021-04-19_2021-04-19,59323.5,2021-04-19,2021-04-19,1,2.6,3.0,4.51676e-12,5.1962e-12,4.51676e-12,5.1962e-12,4.51676,5.1962,1e-12,1.87,OK
Mkn501,day,2021-05-18_2021-05-18,59352.5,2021-05-18,2021-05-18,4,2.6,3.0,6.1752e-13,1.1004e-12,6.1752e-13,1.1004e-12,0.61752,1.1004,1e-12,0.36,OK
Mkn501,day,2021-07-26_2021-07-26,59421.5,2021-07-26,2021-07-26,1,2.6,3.0,0.0,1.06623e-12,0.0,1.06623e-12,0.0,1.06623,1e-12,-0.0,OK
Mkn501,day,2021-07-28_2021-07-28,59423.5,2021-07-28,2021-07-28,2,2.6,3.0,1.12397e-12,7.7546e-13,1.12397e-12,7.7546e-13,1.12397,0.77546,1e-12,3.26,OK
Mkn501,day,2021-07-30_2021-07-30,59425.5,2021-07-30,2021-07-30,2,2.6,3.0,8.037e-14,1.99532e-12,8.037e-14,1.99532e-12,0.08037,1.99532,1e-12,0.01,OK
Mkn501,day,2021-09-30_2021-09-30,59487.5,2021-09-30,2021-09-30,6,2.6,3.0,1.57e-15,7.4979e-13,1.57e-15,7.4979e-13,0.00157,0.74979,1e-12,0.0,OK
Mkn501,day,2021-10-06_2021-10-06,59493.5,2021-10-06,2021-10-06,6,2.6,3.0,6.5e-16,1.75276e-12,6.5e-16,1.75276e-12,0.00065,1.75276,1e-12,-0.0,OK
Mkn501,day,2021-12-17_2021-12-17,59565.5,2021-12-17,2021-12-17,4,2.6,3.0,1.4822e-12,9.582e-13,1.4822e-12,9.582e-13,1.4822,0.9582,1e-12,3.32,OK
Mkn501,day,2022-10-19_2022-10-19,59871.5,2022-10-19,2022-10-19,5,2.6,3.0,0.0,6.39114e-12,0.0,6.39114e-12,0.0,6.39114,1e-12,-0.0,OK
Mkn501,day,2022-10-21_2022-10-21,59873.5,2022-10-21,2022-10-21,5,2.6,3.0,9.2734e-13,1.04232e-12,9.2734e-13,1.04232e-12,0.92734,1.04232,1e-12,0.93,OK
Mkn501,day,2022-10-27_2022-10-27,59879.5,2022-10-27,2022-10-27,6,2.6,3.0,2.5e-16,1.23747e-12,2.5e-16,1.23747e-12,0.00025,1.23747,1e-12,-0.0,OK
Mkn501,day,2022-12-26_2022-12-26,59939.5,2022-12-26,2022-12-26,5,2.6,3.0,1.0483e-13,7.9462e-13,1.0483e-13,7.9462e-13,0.10483,0.79462,1e-12,0.03,OK
Mkn501,day,2022-12-30_2022-12-30,59943.5,2022-12-30,2022-12-30,2,2.6,3.0,0.0,4.7990393e-10,0.0,4.7990393e-10,0.0,479.90393,1e-12,-0.0,OK
Mkn501,day,2023-08-26_2023-08-26,60182.5,2023-08-26,2023-08-26,6,2.6,3.0,2.6e-16,1.32488e-12,2.6e-16,1.32488e-12,0.00026,1.32488,1e-12,-0.0,OK
Mkn501,day,2023-09-26_2023-09-26,60213.5,2023-09-26,2023-09-26,3,2.6,3.0,1.11805e-12,7.3987e-13,1.11805e-12,7.3987e-13,1.11805,0.73987,1e-12,3.35,OK
Mkn501,day,2023-10-19_2023-10-19,60236.5,2023-10-19,2023-10-19,6,2.6,3.0,3.9999999999999997e-17,8.5265e-13,3.9999999999999997e-17,8.5265e-13,4e-05,0.85265,1e-12,-0.0,OK
Mkn501,day,2023-10-29_2023-10-29,60246.5,2023-10-29,2023-10-29,5,2.6,3.0,9.999999999999999e-18,7.7906e-13,9.999999999999999e-18,7.7906e-13,1e-05,0.77906,1e-12,-0.0,OK
Mkn501,day,2023-10-30_2023-10-30,60247.5,2023-10-30,2023-10-30,4,2.6,3.0,0.0,2.8425848e-10,0.0,2.8425848e-10,0.0,284.25848,1e-12,-0.0,OK
Mkn501,day,2023-12-18_2023-12-18,60296.5,2023-12-18,2023-12-18,5,2.6,3.0,9.999999999999999e-18,2.1695e-12,9.999999999999999e-18,2.1695e-12,1e-05,2.1695,1e-12,-0.0,OK
Mkn501,day,2023-12-22_2023-12-22,60300.5,2023-12-22,2023-12-22,6,2.6,3.0,6.999999999999999e-17,8.2428e-13,6.999999999999999e-17,8.2428e-13,7e-05,0.82428,1e-12,-0.0,OK
Mkn501,day,2024-01-15_2024-01-15,60324.5,2024-01-15,2024-01-15,6,2.6,3.0,5.240000000000001e-15,8.757e-13,5.240000000000001e-15,8.757e-13,0.00524,0.8757,1e-12,0.0,OK
Mkn501,day,2024-02-01_2024-02-01,60341.5,2024-02-01,2024-02-01,5,2.6,3.0,1.4331e-13,1.51086e-12,1.4331e-13,1.51086e-12,0.14331,1.51086,1e-12,0.02,OK
Mkn501,day,2024-06-05_2024-06-05,60466.5,2024-06-05,2024-06-05,6,2.6,3.0,0.0,1.26856e-12,0.0,1.26856e-12,0.0,1.26856,1e-12,-0.0,OK
Mkn501,day,2024-10-24_2024-10-24,60607.5,2024-10-24,2024-10-24,6,2.6,3.0,0.0,9.4921e-13,0.0,9.4921e-13,0.0,0.94921,1e-12,-0.0,OK
Mkn501,day,2024-11-04_2024-11-04,60618.5,2024-11-04,2024-11-04,6,2.6,3.0,5.999999999999999e-17,7.0164e-13,5.999999999999999e-17,7.0164e-13,6e-05,0.70164,1e-12,-0.0,OK
Mkn501,day,2024-11-08_2024-11-08,60622.5,2024-11-08,2024-11-08,6,2.6,3.0,7.500000000000001e-16,9.7152e-13,7.500000000000001e-16,9.7152e-13,0.00075,0.97152,1e-12,0.0,OK
Mkn501,day,2025-02-01_2025-02-01,60707.5,2025-02-01,2025-02-01,6,2.6,3.0,7.4e-16,7.8748e-13,7.4e-16,7.8748e-13,0.00074,0.78748,1e-12,0.0,OK
Mkn501,day,2025-03-26_2025-03-26,60760.5,2025-03-26,2025-03-26,6,2.6,3.0,1e-16,7.8973e-13,1e-16,7.8973e-13,0.0001,0.78973,1e-12,-0.0,OK
Mkn501,day,2025-04-17_2025-04-17,60782.5,2025-04-17,2025-04-17,6,2.6,3.0,2.9999999999999994e-17,6.9754e-13,2.9999999999999994e-17,6.9754e-13,3e-05,0.69754,1e-12,-0.0,OK
Mkn501,day,2025-05-25_2025-05-25,60820.5,2025-05-25,2025-05-25,4,2.6,3.0,1.24e-15,9.2433e-13,1.24e-15,9.2433e-13,0.00124,0.92433,1e-12,0.0,OK
Mkn501,day,2025-06-25_2025-06-25,60851.5,2025-06-25,2025-06-25,3,2.6,3.0,1.2e-16,9.8156e-13,1.2e-16,9.8156e-13,0.00012,0.98156,1e-12,-0.0,OK
