source_id,survey,mjd,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
mkn421,ATLAS,59284.383306,16.454,0.015,951,15,c,0,123.76,166.11383,38.20883,608.64,2527.84,2.62,2.44,-64.1,-0.403,19.72,21.79,02a59284o0297c
mkn421,ATLAS,59284.386085,-15.899,0.007,-1586,10,c,0,1781.85,166.11383,38.20883,631.46,2563.81,2.66,2.51,-75.0,-0.402,19.65,21.78,02a59284o0303c
mkn421,ATLAS,59284.392475,18.165,0.066,197,13,c,0,177.33,166.11383,38.20883,10270.05,2538.66,2.69,2.43,-55.4,-0.395,19.7,21.8,02a59284o0315c
mkn421,ATLAS,59284.398776,-16.21,0.007,-1192,8,c,0,947.45,166.11383,38.20883,575.95,2483.33,2.48,2.4,82.5,-0.415,19.72,21.79,02a59284o0327c
mkn421,ATLAS,59284.401364,16.769,0.019,712,14,c,0,128.37,166.11383,38.20883,10292.86,2574.74,2.73,2.42,-57.1,-0.405,19.73,21.79,02a59284o0331c
mkn421,ATLAS,59284.405035,16.661,0.018,786,14,c,0,141.83,166.11383,38.20883,559.41,2599.36,2.49,2.41,68.5,-0.405,19.72,21.79,02a59284o0339c
mkn421,ATLAS,59284.405491,16.8,0.02,692,14,c,0,155.11,166.11383,38.20883,10235.55,2499.37,2.68,2.43,-56.5,-0.398,19.7,21.78,02a59284o0340c
mkn421,ATLAS,59284.423656,-17.761,0.599,-286,171,c,0,79.19,166.11383,38.20883,375.06,7955.76,2.54,2.3,-39.9,-0.385,16.78,18.62,02a59284o0379c
mkn421,ATLAS,59288.381889,15.798,0.01,1742,18,c,0,251.59,166.11383,38.20883,10273.5,2534.39,2.57,2.26,-52.0,-0.42,19.83,21.85,02a59288o0363c
mkn421,ATLAS,59288.385092,15.632,0.009,2028,18,c,0,118.19,166.11383,38.20883,10294.28,2572.76,2.51,2.38,-51.2,-0.407,19.84,21.84,02a59288o0370c
mkn421,ATLAS,59288.398472,15.782,0.01,1766,18,c,0,120.56,166.11383,38.20883,616.06,2528.3,2.45,2.43,-5.1,-0.41,19.82,21.89,02a59288o0396c
