source_id,survey,instrument,panel,band,mjd,flux_mjy,flux_err_mjy,mag,mag_err,quality_rule,source_url,note
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59696.9242,11.5,0.381,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59699.0458,12.1,0.402,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59700.6417,12.1,0.402,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59701.5019,11.8,0.391,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59702.3665,11.4,0.377,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59702.8444,10.8,0.36,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59703.5574,10.7,0.357,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59704.0216,10.6,0.353,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59704.6225,10.9,0.363,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59706.0138,11.7,0.388,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59707.2104,12.1,0.402,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59717.1625,7.16,0.279,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59719.0786,9.1,0.638,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
mkn421,CDS/VizieR A&A 684 A127,Swift-UVOT,near-UV,M2,59720.9407,9.44,0.314,,,R-band and Swift-UVOT W1/M2/W2 mJy rows from fig1.dat,https://cdsarc.cds.unistra.fr/ftp/J/A+A/684/A127/fig1.dat,CDS fig1.dat values are already provided in mJy.
