query_band,source_id,survey,source_url,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153622903,2459290.7337335837,59290.2290394,13.4657307,0.0146168135,4096,zg,166.1138473,38.2088676,0.726000011,0.0340000018,20210317229039,713,0x3,0x1,21.7199993,26.4469051,0.0282625407,-0.123674445,3.39555336e-05,30,1.07799995,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153630951,2459290.8142052013,59290.3095139,13.4974594,0.0145935649,4096,zg,166.1138505,38.2088576,1.78199995,-0.103,20210317309514,713,0x3,0x1,21.8400002,26.4652672,0.0314859301,-0.128772303,4.20367178e-05,30,1.00899994,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153631807,2459290.8227696917,59290.3180787,13.4716139,0.0146124791,4096,zg,166.1138505,38.2088592,0.709999979,0.00999999978,20210317318009,713,0x3,0x1,21.7099991,26.4493465,0.029732706,-0.119490251,3.79320118e-05,30,1.01199996,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153727833,2459291.782989016,59291.2783333,13.4814997,0.0146052213,4096,zg,166.1138527,38.2088583,0.225999996,0.00600000005,20210318278333,713,0x3,0x1,21.5400009,26.435648,0.0289396457,-0.100157127,3.59038822e-05,30,1.01300001,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153828593,2459292.790554866,59292.2859375,13.472208,0.0146120423,4097,zg,166.1138474,38.2088611,0.472000003,0.0120000001,20210319285938,713,0x3,0x1,21.8999996,26.3767643,0.0230276864,-0.0892928541,2.24233081e-05,30,1.00899994,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153830846,2459292.813077094,59292.3084606,13.4603949,0.0146207521,4096,zg,166.1138474,38.2088475,0.764999986,0.075000003,20210319308449,713,0x3,0x1,21.8700008,26.3930435,0.0247609615,-0.084780477,2.55229661e-05,30,1.00999999,1
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153831696,2459292.821583763,59292.3169676,13.4750652,0.0146099422,4096,zg,166.1138593,38.2088502,0.813000023,-0.023,20210319316898,713,0x3,0x1,21.8500004,26.4018497,0.0281124506,-0.10553766,3.32092714e-05,30,1.01400006,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,153928642,2459293.79100155,59293.2864236,13.4720831,0.0146121345,4096,zg,166.1138552,38.2088532,0.561999977,0.0240000002,20210320286412,713,0x3,0x1,21.7299995,26.4498959,0.0266369339,-0.0797695294,2.99294443e-05,30,1.00899994,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154017811,2459294.6826550676,59294.1781134,13.4509258,0.0146277631,4096,zg,166.1138438,38.2088625,0.287999988,0.00400000019,20210321178113,713,0x3,0x1,20.7999992,26.3239212,0.0356204584,-0.080816552,5.96354803e-05,30,1.19000006,2
g,mkn421,ZTF public,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?POS=CIRCLE+166.1138+38.2088+0.0028&BANDNAME=g&NOBS_MIN=3&TIME=59284.333+61125.167&BAD_CATFLAGS_MASK=32768&FORMAT=CSV,713103100005412,154024366,2459294.7482079947,59294.243669,13.4438457,0.0146330222,4096,zg,166.1138483,38.2088527,0.409999996,0.023,20210321243669,713,0x3,0x1,21.2199993,26.3559303,0.0305228159,-0.0785852969,4.0148534e-05,30,1.03600001,2
