source_id,source,series,n_points,mjd_min,mjd_max,median_dt_days,cwt_peak_period_days,cwt_peak_gws,wwz_peak_period_days,wwz_peak_power
mkn421,Mrk 421,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,367.32726039871164,4.486214898079019,363.2228064540831,5.176936173181033
mkn501,Mrk 501,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,389.1696759445418,4.407012636313829,402.9796343164169,6.3853065312756545
1es1959p650,1ES 1959+650,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,327.2513854272149,4.873766617860989,330.60614208267543,5.27415667699693
1es1727p502,1ES 1727+502,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,308.88417649424434,2.689830425099304,303.36462027852355,3.2237668989095787
1es2344p514,1ES 2344+514,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,218.41409580030265,1.9872985178668747,89.49963162535032,2.042594583147789
bllac,BL Lacertae,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,583.0956795735117,2.7839399888988456,600.0,3.175227570144264
ngc1275,NGC 1275,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,173.35538271904176,3.0961747967120545,174.18846593741048,2.833325199188998
m87,M 87,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,389.1696759445418,2.2918728852063945,402.9796343164169,2.804090053276332
4c_p42d22,4C +42.22,wcda_weekly,262,59284.33328206009,61125.16668842604,6.999998148290615,145.77394641148112,2.026599257703386,140.86513340824578,2.2819067667563497
ic310,IC 310,wcda_weekly,264,59284.33328206009,61125.16668842604,6.999996874903445,389.1696759445418,4.056774896398011,402.9796343164169,4.337479406554889
