source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
Mkn421,day,2021-03-08_2021-03-08,59281.50000000,2021-03-08,2021-03-08,3,2.6,3.0,0.0936,0.35443,1e-12,9.36000000e-14,3.54430000e-13,0.07,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-08_2021-03-08.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-08_2021-03-08/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-08_2021-03-08/fit.log
Mkn421,day,2021-03-09_2021-03-09,59282.50000000,2021-03-09,2021-03-09,6,2.6,3.0,0.47658,0.15544,1e-12,4.76580000e-13,1.55440000e-13,13.21,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-09_2021-03-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-09_2021-03-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-09_2021-03-09/fit.log
Mkn421,day,2021-03-10_2021-03-10,59283.50000000,2021-03-10,2021-03-10,6,2.6,3.0,0.70876,0.16764,1e-12,7.08760000e-13,1.67640000e-13,29.05,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-10_2021-03-10.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-10_2021-03-10/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-10_2021-03-10/fit.log
Mkn421,day,2021-03-11_2021-03-11,59284.50000000,2021-03-11,2021-03-11,5,2.6,3.0,0.96552,0.17838,1e-12,9.65520000e-13,1.78380000e-13,42.83,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-11_2021-03-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-11_2021-03-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-11_2021-03-11/fit.log
Mkn421,day,2021-03-12_2021-03-12,59285.50000000,2021-03-12,2021-03-12,6,2.6,3.0,0.9586,0.18744,1e-12,9.58600000e-13,1.87440000e-13,41.21,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-12_2021-03-12.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-12_2021-03-12/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-12_2021-03-12/fit.log
Mkn421,day,2021-03-13_2021-03-13,59286.50000000,2021-03-13,2021-03-13,5,2.6,3.0,0.76504,0.189,1e-12,7.65040000e-13,1.89000000e-13,25.52,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-13_2021-03-13.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-13_2021-03-13/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-13_2021-03-13/fit.log
Mkn421,day,2021-03-14_2021-03-14,59287.50000000,2021-03-14,2021-03-14,1,2.6,3.0,1,114.46473,1e-12,1.00000000e-12,1.14464730e-10,0,NotOK,NotOK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-14_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-14_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-14_2021-03-14/fit.log
Mkn421,day,2021-03-15_2021-03-15,59288.50000000,2021-03-15,2021-03-15,6,2.6,3.0,1.2621,0.18988,1e-12,1.26210000e-12,1.89880000e-13,67.22,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-15_2021-03-15.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-15_2021-03-15/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-15_2021-03-15/fit.log
Mkn421,day,2021-03-16_2021-03-16,59289.50000000,2021-03-16,2021-03-16,4,2.6,3.0,1.30422,0.18371,1e-12,1.30422000e-12,1.83710000e-13,90.05,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-16_2021-03-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-16_2021-03-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-16_2021-03-16/fit.log
Mkn421,day,2021-03-17_2021-03-17,59290.50000000,2021-03-17,2021-03-17,4,2.6,3.0,0.70842,0.20487,1e-12,7.08420000e-13,2.04870000e-13,16.89,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2021-03-17_2021-03-17.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-17_2021-03-17/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2021-03-17_2021-03-17/fit.log
