# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2023-06-25_2023-06-25,60120.16688923612,"[6089.0, 820.0, 157.0, 33.0, 17.0, 4.0, 0.0]","[5863.319448515505, 661.2864489423838, 66.12667176436446, 4.24313253232335, 1.0016478849715353, 0.06933501639986273, 0.03839776713210618]","[201556831.80385786, 22735786.94477896, 2274297.767512126, 146307.95861058932, 34886.69877534608, 2502.746595265779, 1386.738050074866]",28860.1
2023-06-26_2023-06-26,60121.1668221064,"[6160.0, 754.0, 132.0, 19.0, 7.0, 0.0, 0.0]","[5897.758934306252, 660.7360034952153, 64.15914576320947, 3.9287545914233126, 0.8776185184216598, 0.07322072918882074, 0.02044627575026232]","[202670655.5485606, 22721862.651474904, 2210070.357137229, 135863.20852206167, 30428.266811885558, 2457.7117335324515, 760.770176659782]",28866.8
2023-06-27_2023-06-27,60122.16669120404,"[6180.0, 826.0, 154.0, 24.0, 10.0, 2.0, 2.0]","[5923.56458831584, 659.6841036363943, 62.8823486897742, 4.13769160204416, 0.9263398464477194, 0.07211651974740058, 0.01942334012918397]","[201332578.1054492, 22397579.127734732, 2139859.658242597, 141677.58964169293, 31410.010650798744, 2420.5581415081974, 705.834775708275]",28856.7
2023-06-28_2023-06-28,60123.166716666616,"[6100.0, 781.0, 120.0, 17.0, 12.0, 2.0, 0.0]","[5903.494764124941, 659.5775924579884, 62.649431999806794, 3.900508986818917, 0.9013062911887418, 0.10019244813482985, 0.04611324653471546]","[202848937.15736318, 22665230.28760734, 2159421.2839227137, 134577.60102214938, 31902.32304615223, 3274.378618420804, 1606.5309305712676]",28858.4
2023-06-29_2023-06-29,60124.16679953668,"[6219.0, 726.0, 120.0, 17.0, 10.0, 2.0, 0.0]","[5957.385482341474, 666.8960793769544, 63.73383762838516, 4.1351420788963855, 0.8986747304989033, 0.041027402971698324, 0.01950906469044198]","[201507210.7681635, 22568036.021677453, 2164179.7258816524, 140203.99313657798, 30719.258375189795, 1604.4496837798793, 630.3419717552212]",28857.0
2023-06-30_2023-06-30,60125.16679884258,"[6086.0, 772.0, 106.0, 12.0, 7.0, 2.0, 0.0]","[5945.066685374387, 662.9016525033279, 64.43393297646368, 4.153214964879621, 0.8575725719935244, 0.057344700914767115, 0.033557952343086055]","[203986406.32163662, 22781493.86174764, 2210945.34521029, 143263.2107135465, 29541.0291137717, 2173.8153470436964, 1035.8462933508815]",28869.1
2023-07-01_2023-07-01,60126.16688344893,"[6004.0, 741.0, 131.0, 17.0, 7.0, 2.0, 0.0]","[5919.308449622117, 650.8388871091538, 60.795445372230326, 3.63667026916502, 0.8279649019014651, 0.07918973169835289, 0.027332818610239035]","[203234610.44732112, 22382747.710037243, 2093689.8075988297, 126638.95410462774, 28416.007073173096, 2753.3448901637435, 1079.004071815243]",28903.4
2023-07-02_2023-07-02,60127.16696088007,"[6119.0, 759.0, 125.0, 18.0, 7.0, 3.0, 0.0]","[5928.027373840855, 664.0210475982864, 63.614405821698846, 3.833066511640479, 0.8943111955917316, 0.06102692453304488, 0.03241841135113538]","[203199453.51416257, 22790124.048165135, 2189403.2052623634, 132496.86933272707, 31460.71098407867, 1921.5492600676148, 1461.6377594674584]",28865.9
2023-07-03_2023-07-03,60128.1668261569,"[5626.0, 675.0, 68.0, 5.0, 2.0, 1.0, 0.0]","[5562.578134294166, 604.8456684506342, 55.91935352325149, 3.322074356339477, 0.7058183298596346, 0.08654908398601206, 0.02544729433941811]","[196983786.43230802, 21699343.46847955, 2062562.4925610537, 129807.63351053275, 28377.247779243437, 3179.68576514354, 1070.0401368449798]",28903.5
2023-07-04_2023-07-04,60129.16686585654,"[5870.0, 666.0, 74.0, 7.0, 0.0, 0.0, 0.0]","[5802.6630485721, 652.5074223239087, 63.13370336353267, 4.129816680885801, 0.9650411517965334, 0.049468087849233504, 0.04860798415456654]","[190321839.5249154, 21299517.43749277, 2055853.5608684178, 133566.16441262848, 31776.214184093024, 1881.5508261737934, 1492.6151042923884]",28862.4
2023-07-05_2023-07-05,60130.16711678241,"[5978.0, 706.0, 70.0, 2.0, 3.0, 0.0, 0.0]","[5918.684975809297, 655.7341651311905, 62.77185879332529, 3.3467673572866343, 0.9514949560999388, 0.07372611767984376, 0.04528719237693295]","[203491812.39398456, 22539941.413473208, 2162180.746277549, 116661.83625179919, 32752.67234370793, 2392.5835831409504, 1354.8833475505967]",28865.5
2023-07-06_2023-07-06,60131.16709965286,"[5883.0, 705.0, 67.0, 5.0, 0.0, 0.0, 0.0]","[5900.955292447363, 654.5778547157756, 63.02198390484506, 3.964740220349667, 0.6868411493280859, 0.09893214819314167, 0.016639667176654542]","[202096752.7967613, 22415964.65729754, 2155741.818109234, 135036.19023709017, 23487.904478501827, 3387.2242570352137, 682.5833746334288]",28868.1
2023-07-07_2023-07-07,60132.16704479171,"[5769.0, 655.0, 74.0, 5.0, 1.0, 0.0, 0.0]","[5714.8309387929, 628.7532983413869, 59.842861274958636, 3.4400975271133984, 0.786415205299854, 0.03928705546054648, 0.02815708396755882]","[190861645.16221875, 21014060.676343087, 2006085.183852642, 115124.74452020813, 26794.076018549076, 1341.516790586574, 1072.4234609465987]",28861.1
2023-07-08_2023-07-08,60133.167150347326,"[5896.0, 684.0, 78.0, 4.0, 2.0, 0.0, 0.0]","[5819.106887271104, 644.4103830633811, 60.492754606023595, 3.8249223231915557, 0.8057439584040388, 0.08442968829897927, 0.024081547175862316]","[199984639.3669894, 22152691.734789595, 2079757.3527838015, 132060.54246349732, 27896.019642665655, 2978.0727438272597, 748.2302108766617]",28875.6
2023-07-09_2023-07-09,60134.16694756949,"[5936.0, 681.0, 82.0, 3.0, 3.0, 0.0, 0.0]","[5720.327309044746, 632.5785060867796, 59.391238360882156, 3.6773282117860773, 0.6898861498108546, 0.04609467210751349, 0.04546961499205468]","[197638363.27092245, 21918483.483127758, 2065294.9942836135, 127059.65579632939, 24735.06008806555, 1647.1657441509592, 1428.161918540614]",28867.7
2023-07-10_2023-07-10,60135.16681631928,"[6004.0, 681.0, 90.0, 11.0, 5.0, 0.0, 0.0]","[5852.771782004958, 649.5108228329559, 62.293837459534736, 3.652549099151489, 0.7915497648364292, 0.07637768271851794, 0.04719388982416824]","[201190420.08839235, 22335292.66734591, 2144931.1956057977, 126122.50188037538, 27455.465737833638, 2821.650568650281, 1540.7245215563325]",28906.7
2023-07-11_2023-07-11,60136.16672002315,"[5822.0, 695.0, 84.0, 9.0, 4.0, 0.0, 0.0]","[5797.9665714934135, 636.3685850431028, 59.57299422948178, 3.6022489425297275, 0.909089455257952, 0.06974291196099762, 0.05499025306476507]","[188481161.59095648, 20646254.974090867, 1931040.636999206, 117301.66204657398, 29770.468588179778, 2334.5683351500884, 1570.7085018988123]",28050.4
2023-07-12_2023-07-12,60137.16691851814,"[5761.0, 646.0, 77.0, 8.0, 2.0, 0.0, 0.0]","[5672.809309852217, 617.0978090606003, 59.00202147300436, 3.850325596560786, 0.9032170270318376, 0.04458387212712701, 0.0075031298656150006]","[171397555.98231483, 18709238.05530623, 1797484.5369498085, 116958.12382036603, 27167.925870898027, 1282.9039941451524, 354.89789284726567]",25273.3
2023-07-13_2023-07-13,60138.16705613418,"[5700.0, 656.0, 81.0, 10.0, 4.0, 1.0, 0.0]","[5607.653677915761, 611.8169817475616, 57.47698150852693, 3.4690060949643824, 0.7265535332764499, 0.02817882517824996, 0.0349485340789263]","[196868866.3744231, 21596060.508326605, 2057159.7671684274, 125300.18382969168, 27692.912356762004, 1360.5767471539498, 1009.4218434783988]",28859.9
2023-07-14_2023-07-14,60139.16694178259,"[5950.0, 736.0, 138.0, 17.0, 10.0, 1.0, 0.0]","[5725.205259536027, 632.5789881393165, 58.92007734574848, 3.716993885310272, 0.7943660270437644, 0.08445290051238806, 0.02901445469821149]","[197413339.35396755, 21840698.535125066, 2034093.4157362056, 128319.0024807608, 28281.674564104436, 2546.255320146472, 899.0090691337053]",28856.0
2023-07-15_2023-07-15,60140.16677349528,"[5961.0, 753.0, 121.0, 17.0, 10.0, 3.0, 0.0]","[5706.448457083082, 626.154127674068, 59.19533958813168, 3.772408900445038, 0.828862276916599, 0.09374822390549102, 0.028552173527293785]","[196253634.18439442, 21557333.42359481, 2037553.177937908, 130849.03231766027, 28270.816312988914, 3187.127360667703, 958.3289548019512]",28858.2
2023-07-16_2023-07-16,60141.1667553242,"[5979.0, 718.0, 112.0, 15.0, 5.0, 0.0, 0.0]","[5742.547670853464, 628.2285990639721, 60.332931045494504, 3.725655899803632, 0.8174213820501468, 0.03762381553744555, 0.044627218663226394]","[197357932.6319063, 21595607.933750536, 2080252.0879492194, 127654.50043572918, 28181.431076514207, 1242.93384351698, 1419.8486366790287]",28866.6
2023-07-17_2023-07-17,60142.167015046274,"[6005.0, 821.0, 131.0, 20.0, 11.0, 1.0, 0.0]","[5708.311039335814, 631.1276814713024, 60.65660493682664, 3.6799959026436824, 0.7408830157915198, 0.06093372003329918, 0.02300524808718436]","[197117896.58278984, 21832777.863570184, 2106471.0287479595, 127992.81504230169, 25444.423994913413, 2288.7095239075347, 756.7577815887099]",28862.9
2023-07-18_2023-07-18,60143.167082291744,"[5999.0, 726.0, 140.0, 18.0, 7.0, 2.0, 0.0]","[5786.043905532658, 638.9283391248956, 61.37101121885467, 3.656060001455991, 0.8471231178324987, 0.07329930009540882, 0.03619896533700596]","[196541377.6582206, 21613177.280731257, 2057578.2123614969, 121579.29616865354, 27952.76279703058, 2444.3839051894233, 1149.3965913598681]",28856.4
2023-07-19_2023-07-19,60144.16691782379,"[5789.0, 712.0, 85.0, 14.0, 4.0, 1.0, 0.0]","[5647.09996648293, 617.9885228402995, 59.03812206364485, 3.5231027451392656, 0.909275253716272, 0.042311798884449775, 0.015092537618069694]","[195411513.04200915, 21489131.151552487, 2070909.3783025465, 124323.30485120202, 32894.154930494486, 2081.103553398724, 446.96228319571037]",28857.0
2023-07-20_2023-07-20,60145.16684652779,"[5856.0, 725.0, 85.0, 11.0, 9.0, 2.0, 0.0]","[5759.575642869954, 637.5847203782189, 59.661136113860316, 3.8197064672709655, 0.9837483703503869, 0.053086988940956106, 0.012815016156144343]","[197789797.12863958, 21909768.81322145, 2053263.1536195558, 132842.97665491808, 34180.41435096587, 2039.5800073626808, 579.6644955538502]",28860.2
2023-07-21_2023-07-21,60146.1669494213,"[5698.0, 722.0, 82.0, 7.0, 4.0, 0.0, 0.0]","[5639.437454419707, 624.4070767394045, 58.9547933211002, 4.004184935123872, 0.8809942243316317, 0.08081390237283761, 0.019213950013007047]","[193645377.93294248, 21470462.36645707, 2033671.9419191314, 138615.4365950716, 30900.16422664999, 2624.192916375549, 787.0938519477081]",28908.5
2023-07-22_2023-07-22,60147.16686076358,"[5862.0, 712.0, 96.0, 5.0, 4.0, 0.0, 0.0]","[5600.331436653485, 623.0385973870967, 59.09956780288199, 3.62732340492698, 0.8058050449815654, 0.043124624434312184, 0.03281941847296691]","[192790587.7594436, 21483843.46107466, 2043612.4446654022, 124613.2758681508, 28333.34647774263, 1476.6693780289881, 1034.3208391672424]",28880.3
2023-07-23_2023-07-23,60148.16684259247,"[5790.0, 668.0, 91.0, 8.0, 5.0, 0.0, 0.0]","[5738.0904669292595, 634.343307762262, 60.68082126391495, 3.7663859380864553, 0.8604696288809416, 0.09369455694146722, 0.028024193031676317]","[196598679.8194287, 21747940.995569162, 2081552.7702448177, 129654.9595953388, 30011.809813933185, 3190.6158151836817, 1158.9687025202988]",28874.0
2023-07-24_2023-07-24,60148.83371678245,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
2023-07-25_2023-07-25,60150.25006215261,"[6008.0, 753.0, 97.0, 17.0, 7.0, 0.0, 1.0]","[5806.1164365887535, 635.1623705585931, 61.855056666787675, 4.058420992385061, 0.9555785200083422, 0.10287578707934315, 0.021319230939119103]","[183970695.9855247, 20124971.63886831, 1949825.4222963753, 128496.44054580232, 30056.576540102003, 3157.1828680059484, 669.0777383302161]",28859.6
2023-07-26_2023-07-26,60151.16685844978,"[5922.0, 719.0, 122.0, 15.0, 9.0, 1.0, 1.0]","[5798.799126119675, 639.1207602532476, 62.447340813596824, 3.863504122989609, 0.88079060276456, 0.05804148535312975, 0.029476811328238355]","[198613212.98679388, 21871140.84987672, 2131502.9841357376, 131796.30315857992, 30108.327416428707, 2137.3531279200192, 1015.1623836552973]",28858.6
2023-07-27_2023-07-27,60152.16683495339,"[6114.0, 685.0, 127.0, 11.0, 1.0, 0.0, 0.0]","[5840.283024659115, 643.1841053993688, 61.90270592055438, 3.962664473704024, 0.8166010744490013, 0.06420104154969032, 0.044150149359522405]","[200635137.75289065, 22131850.37913073, 2132819.856702772, 136938.9993234168, 28515.621622529776, 2162.7835771044347, 1671.6453336154038]",28861.8
2023-07-28_2023-07-28,60153.16662002329,"[5869.0, 674.0, 70.0, 12.0, 4.0, 1.0, 0.0]","[5804.793495805897, 644.7352735355703, 61.58796241823212, 3.9310932265953706, 0.947554605478141, 0.062119701544423055, 0.029585044625492357]","[199808682.91635263, 22178408.49685392, 2124872.6211587684, 135614.0665770312, 31978.892327992657, 1793.2043273950662, 1141.5193346571425]",28914.1
2023-07-29_2023-07-29,60154.16698078702,"[5756.0, 704.0, 80.0, 2.0, 2.0, 0.0, 0.0]","[5780.265429585264, 640.0314023736125, 61.76122158127721, 3.543128958666484, 1.057782670657656, 0.1050580608465146, 0.039381469261097736]","[199424964.4676283, 22101081.637508143, 2138653.720778049, 122924.07582109017, 37034.268230076224, 3604.5575065259045, 1300.6803205967392]",28938.0
2023-07-30_2023-07-30,60155.16675277781,"[5671.0, 628.0, 76.0, 5.0, 0.0, 0.0, 0.0]","[5596.953934530442, 619.0544185082784, 57.93321844153918, 3.6481850313315975, 0.9376437358480946, 0.0777543717265367, 0.025448779284386904]","[189869644.31077236, 21004410.88659992, 1968452.4614918295, 125668.30864698433, 31846.497640172507, 2783.409178142224, 857.6675360935128]",28309.1
2023-07-31_2023-07-31,60156.166721643625,"[5862.0, 741.0, 78.0, 3.0, 1.0, 0.0, 0.0]","[5841.886060667165, 645.3320681200469, 62.075446017848115, 4.036584708785605, 0.7572982831260962, 0.04211464413501704, 0.021908070466436287]","[201111770.31531858, 22225906.11201934, 2144734.0039152144, 139658.96580791168, 26745.927527871303, 1344.5829465415172, 886.8702931181374]",28870.4
2023-08-01_2023-08-01,60157.16674606528,"[5894.0, 665.0, 79.0, 11.0, 4.0, 2.0, 0.0]","[5803.961082885771, 641.8235819494206, 61.42164908256875, 3.713414249793522, 0.9757570411587836, 0.09098361568720285, 0.023745373847316925]","[199598647.89390293, 22097427.858022124, 2119729.6617628937, 129131.36498136491, 33783.537710579025, 3390.525067390295, 820.4518854945725]",28907.8
2023-08-02_2023-08-02,60158.16698530145,"[5714.0, 695.0, 94.0, 7.0, 3.0, 0.0, 0.0]","[5727.787489695934, 632.545067342467, 59.91776477058121, 3.5930519154786884, 0.8102134098616278, 0.08052593216621202, 0.030004885709116927]","[195609854.32629192, 21611624.58287757, 2043543.4294774593, 123923.698985503, 27783.0595964929, 2529.9620403457266, 968.683313372881]",28863.2
2023-08-03_2023-08-03,60159.16708657447,"[5944.0, 733.0, 92.0, 10.0, 4.0, 2.0, 0.0]","[5835.698139048348, 640.7802583219841, 62.42084259152276, 3.57074933175366, 0.9310681581721367, 0.06709048163810517, 0.007727676302254456]","[198912679.13632816, 21816744.46502636, 2119105.131386041, 120205.87321802344, 31667.027750319638, 2235.323322449359, 365.9429716572583]",28868.5
2023-08-04_2023-08-04,60160.16697812475,"[5991.0, 750.0, 109.0, 15.0, 6.0, 1.0, 0.0]","[5785.256945176809, 642.4113417601305, 62.287321144682636, 3.888384895743626, 0.8113174421411591, 0.09036954868470735, 0.034813279415604]","[199044917.2395273, 22115688.1710191, 2147909.184986638, 133941.09589294612, 28048.553622342028, 3090.7304159207247, 1389.3361240624413]",28875.0
2023-08-05_2023-08-05,60161.16694016177,"[5905.0, 774.0, 104.0, 11.0, 12.0, 0.0, 0.0]","[5812.944618319064, 643.6490705637672, 61.966243034253345, 3.8753984418845278, 0.9317886601918346, 0.0897456083203128, 0.018858066864190746]","[200044826.71213597, 22173703.955995537, 2138380.0931226094, 132871.58186120295, 32283.51999504187, 3077.209371197259, 582.6738667500487]",28861.2
2023-08-06_2023-08-06,60162.1669894676,"[5994.0, 729.0, 98.0, 11.0, 2.0, 0.0, 0.0]","[5887.022836568253, 655.5677539263047, 62.74851386908789, 3.802321522703016, 0.8276423084200275, 0.06282861702296906, 0.009936036450154553]","[202624832.05982822, 22571892.20839627, 2163343.197060968, 131508.02020609612, 28823.759936372437, 2291.4020986764685, 534.4337615320374]",28906.2
2023-08-07_2023-08-07,60163.16700277792,"[5928.0, 706.0, 89.0, 10.0, 9.0, 0.0, 0.0]","[5877.978461287614, 653.1977467567315, 63.36694854558376, 3.937675665960814, 0.8586583092209067, 0.04821636143179422, 0.028026886171337494]","[201599786.63674125, 22428051.4073998, 2181091.6910801507, 136075.67970773025, 30149.011656472518, 1610.257958601158, 1066.9109103873996]",28948.1
2023-08-08_2023-08-08,60164.166959606286,"[6012.0, 711.0, 86.0, 11.0, 5.0, 0.0, 0.0]","[5807.229440223975, 647.5165503141155, 60.99034411575008, 3.761769249759485, 0.9940749361262069, 0.07273204512555398, 0.025910158861234177]","[199644473.5387547, 22285386.883618273, 2099600.899446885, 129664.50230582872, 33866.7056316717, 2717.3339093038007, 808.4254729034242]",28881.8
2023-08-09_2023-08-09,60165.16696122709,"[5536.0, 644.0, 101.0, 7.0, 6.0, 2.0, 0.0]","[5477.052566403832, 595.3730443355809, 56.6744876619484, 3.2510408427030604, 0.7963162680294584, 0.04440275644660652, 0.021362783163963096]","[166921041.55351275, 18348148.728426047, 1769144.5981293642, 102555.5668508027, 25991.262015064225, 1735.0345153577548, 639.7029016527513]",26231.7
2023-08-10_2023-08-10,60166.16693773151,"[5913.0, 696.0, 96.0, 8.0, 3.0, 0.0, 1.0]","[5663.819536587318, 632.6931998663634, 60.9116132973472, 3.7798926236167554, 0.9280786401315945, 0.06870308592838123, 0.02105058922400889]","[194936236.0398942, 21781481.967990763, 2100540.8101932327, 130552.90334494835, 31720.715594796213, 2380.690513593556, 694.4214826829461]",28906.6
2023-08-11_2023-08-11,60167.1667381943,"[5745.0, 670.0, 84.0, 10.0, 3.0, 0.0, 0.0]","[5683.552883743668, 625.7061227882265, 58.96348980550331, 3.6344125881052545, 0.7893300859681665, 0.05504308331475089, 0.034596451763347906]","[178097122.6547601, 19726754.665103722, 1866934.2596816125, 116762.92627301248, 25228.569375809613, 1751.5253889894773, 922.8267084384327]",26892.7
2023-08-12_2023-08-12,60168.16669953722,"[5728.0, 696.0, 108.0, 6.0, 4.0, 0.0, 0.0]","[5672.856109963605, 631.683735981554, 61.276258296756026, 3.866125502776148, 0.9398309862608425, 0.08670536202840654, 0.01837683130592687]","[193738260.81910142, 21591387.796000816, 2095662.1713372543, 132989.44869518088, 31908.775968261318, 3209.1179867235096, 656.9042753075698]",28572.5
2023-08-13_2023-08-13,60169.16688194437,"[1354.0, 188.0, 23.0, 7.0, 3.0, 0.0, 0.0]","[1329.4229574991814, 157.45899871101162, 14.587174330327647, 0.9670278725465374, 0.21202333407776824, 0.017425019355340077, 0.006206625397954761]","[32007668.95116566, 3802415.786349069, 352955.96980161365, 23080.346519571052, 4962.63623337135, 421.4778588760928, 97.16463119635796]",10585.2
2023-08-14_2023-08-14,60170.16686446784,"[372.0, 39.0, 8.0, 0.0, 1.0, 0.0, 0.0]","[372.37780892748617, 51.085164568996866, 5.231218784789875, 0.3077386875292423, 0.03807919898080112, 0.008577335211924927, 0.0]","[7316065.657597143, 1005268.3809157037, 103277.63512065444, 6289.517352588036, 781.7811323510025, 126.93358487992059, 0.0]",6447.3
2023-08-15_2023-08-15,60171.16664872701,"[125.0, 22.0, 5.0, 0.0, 0.0, 0.0, 0.0]","[151.12147991635962, 20.98874586328083, 2.715501065985379, 0.16476164462770365, 0.01961403188949687, 0.0, 0.0034038348105923048]","[2780847.5622351216, 385446.64801342046, 49986.95897448645, 3057.2162888187822, 368.9870356490029, 0.0, 121.3298687431597]",4347.0
2023-08-16_2023-08-16,60172.16685624966,"[5884.0, 732.0, 117.0, 25.0, 8.0, 3.0, 0.0]","[5699.1265909258045, 625.579930244903, 60.440587216120946, 3.5897872366638413, 0.8715961913263801, 0.058067069081002405, 0.029101497346650886]","[196034490.26420704, 21544429.169944853, 2083315.3685982032, 124052.69163643065, 30480.54432058286, 2119.607687601282, 1108.6453506231862]",28856.9
2023-08-17_2023-08-17,60173.16684166671,"[5692.0, 706.0, 92.0, 7.0, 4.0, 2.0, 0.0]","[5665.022657621266, 626.4854354037677, 60.23330222930101, 3.6572910260857325, 0.8767856052534444, 0.06873472247956627, 0.06069020328188141]","[195305498.49489483, 21621082.909539722, 2082221.7595752943, 126953.02394254348, 30590.548693764136, 2177.1534494538037, 2247.8190516697564]",28905.9
2023-08-18_2023-08-18,60174.16688530112,"[58.0, 13.0, 2.0, 0.0, 1.0, 0.0, 0.0]","[68.02508323314794, 9.530944603320421, 0.8834611186531327, 0.07050231972560735, 0.011663347900239169, 0.0, 0.0]","[1160793.6532654697, 162790.22627101507, 15150.547152151545, 1189.4612148607218, 146.2815594004861, 0.0, 0.0]",2917.0
2023-08-19_2023-08-19,60175.16679537049,"[97.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[83.95921407216301, 12.146730603360897, 1.4255407362428323, 0.07086803423176245, 0.02157952678828928, 0.0, 0.0]","[1543984.6271459863, 223810.7931167467, 26214.86792748798, 1335.4341220496979, 404.26605804661256, 0.0, 0.0]",3295.7
2023-08-20_2023-08-20,60176.16683784788,"[19.0, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[21.262502088352758, 2.8350614547896935, 0.4501930382334464, 0.03842811295066272, 0.011147794793615946, 0.0, 0.0]","[358397.0194917893, 47920.88317274763, 7712.871968463277, 631.3742817088923, 200.34399834526062, 0.0, 0.0]",1344.1
2023-08-21_2023-08-21,60177.16689074083,"[78.0, 22.0, 3.0, 0.0, 0.0, 0.0, 0.0]","[84.04387430579301, 12.966057594799082, 1.297491624753154, 0.09228742494905925, 0.009010651623329048, 0.0061942082430729035, 0.0]","[1576750.139719164, 243523.21383392072, 24457.49695681018, 1748.703909658505, 190.51819304864307, 145.06058938630312, 0.0]",3249.2
2023-08-22_2023-08-22,60178.16689074038,"[190.0, 35.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[195.87828469046337, 29.099713507250392, 3.014307469399244, 0.14391350333023548, 0.0537616695102082, 0.0, 0.0]","[4017218.697911871, 596424.7776350717, 62084.21898828387, 2994.212111874306, 1121.9845632641811, 0.0, 0.0]",4909.6
2023-08-23_2023-08-23,60179.16686782352,"[5874.0, 735.0, 95.0, 5.0, 3.0, 1.0, 1.0]","[5757.219701120924, 648.3383555280169, 64.2317944374078, 3.884370080342795, 0.8201890038970202, 0.0844254485412342, 0.032881312101538905]","[197546974.51735687, 22208280.8111998, 2192244.97466511, 131796.51286792386, 28308.232362901526, 2667.519386764061, 930.9105325321696]",28859.5
2023-08-24_2023-08-24,60180.16715161973,"[5837.0, 716.0, 88.0, 7.0, 0.0, 0.0, 0.0]","[5750.447524318427, 645.0801566379826, 62.49578384844735, 4.073609186935108, 0.9171874382871182, 0.07141943663810349, 0.03511580015636249]","[198396577.45694792, 22257868.468714215, 2162793.652138472, 140897.58240435913, 31778.001208635385, 2430.1788527307617, 1014.2077277482938]",28871.0
