# ra : 356.75, dec : 51.75
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[13811.0, 1822.0, 185.0, 12.0, 2.0, 1.0, 0.0]","[13588.866531709828, 1836.3922302001463, 187.5881157559981, 12.61566249630334, 2.9084463915120544, 0.14937749390983537, 0.06194541901779216]","[406877508.5308323, 55153750.91509404, 5649289.968107667, 378305.71666626603, 86224.70821638303, 4367.423117497395, 1598.942120904913]",125129.6
2021-03-15_2021-03-21,59291.16655543972,"[7413.0, 967.0, 116.0, 7.0, 3.0, 0.0, 0.0]","[7460.1682757631925, 1000.4138766129208, 99.91642999969282, 6.16295198076209, 1.7303728349798622, 0.07401174841813771, 0.026309665488097194]","[235701296.8098029, 31629617.3943632, 3158519.4611028573, 194877.82806236748, 54648.31966309801, 2347.2260056978444, 1012.3044245482848]",63687.1
2021-03-22_2021-03-28,59298.16639849528,"[13455.0, 1788.0, 193.0, 14.0, 2.0, 0.0, 0.0]","[13358.093329994941, 1788.308158661579, 180.0552227617153, 11.523948724691847, 2.7441845032049694, 0.18680043896286624, 0.06606373644120923]","[392782909.834735, 52587083.62620018, 5282825.85520857, 337332.0382869026, 81151.90955278004, 6267.668817852217, 2059.282616979801]",112632.9
2021-03-29_2021-04-04,59305.16613796316,"[14969.0, 2055.0, 229.0, 14.0, 5.0, 0.0, 0.0]","[15036.239123878933, 2025.8338227084241, 204.43553003146437, 13.307513110759016, 3.612344115299984, 0.20801493835873058, 0.0875047737546274]","[447271632.1430509, 60136016.48378663, 6069864.429804878, 394299.9933966465, 107700.23176078066, 5990.726823827294, 2985.529122192291]",118079.4
2021-04-05_2021-04-11,59312.16602650478,"[18083.0, 2442.0, 282.0, 20.0, 6.0, 1.0, 0.0]","[18192.782540360695, 2458.132501345553, 249.52638335188308, 16.63793383530532, 4.260052537736836, 0.2807580464830068, 0.10744104308980337]","[591010634.9090282, 79774540.91433944, 8088642.637713409, 539263.2177511347, 137191.6465463202, 9350.648415607273, 3246.266879578481]",163401.0
2021-04-12_2021-04-18,59318.83206319419,"[7176.0, 931.0, 113.0, 6.0, 1.0, 0.0, 0.0]","[7119.622425032595, 920.304956026482, 89.91679659662603, 6.287747991923561, 1.4705369895276297, 0.12279041763632474, 0.03611421413368825]","[201656751.695931, 26072604.619790014, 2554839.675557611, 178683.63524396505, 41808.01604555686, 3224.034439455555, 1238.0218073663823]",61289.4
2021-04-19_2021-04-25,59326.32490347181,"[15893.0, 2227.0, 226.0, 18.0, 6.0, 0.0, 0.0]","[16110.744481468659, 2150.6355574489808, 218.62136992600378, 14.18455005060777, 3.248979775780395, 0.2055721492960208, 0.0921696806287678]","[500612852.9986397, 66713544.9587472, 6756727.456733182, 436619.835999198, 100248.2777689228, 6952.217920211336, 2782.4234320192922]",148259.1
2021-04-26_2021-05-02,59333.15840833324,"[21584.0, 2933.0, 311.0, 18.0, 4.0, 0.0, 0.0]","[21660.113690959657, 2882.5438580173463, 287.5257803247979, 19.521780889497478, 5.084834590408689, 0.3341973391512441, 0.0941164899074925]","[723782870.4082943, 96272012.55993736, 9588462.468462853, 651431.1970435586, 167835.76790782274, 11380.823692844924, 3117.92524332735]",196976.4
2021-05-03_2021-05-09,59340.166622916775,"[22766.0, 2900.0, 299.0, 19.0, 5.0, 0.0, 0.0]","[22703.637754699423, 2934.327416606114, 285.74724498710344, 18.576731185238028, 5.025601284842551, 0.31258274195707575, 0.10237407236101156]","[773621674.6897836, 99931448.72625542, 9707145.271000465, 629255.7851239525, 168901.34134712882, 10193.770880280255, 3428.6680270536413]",194912.8
2021-05-10_2021-05-16,59347.16690069436,"[23683.0, 3153.0, 319.0, 14.0, 10.0, 0.0, 0.0]","[23947.377924017725, 3094.554753318699, 299.5203341944782, 19.692505717938968, 5.140712229316061, 0.28819652366196713, 0.1679909477034579]","[828011414.5976355, 106939612.3948756, 10340076.279552924, 679164.5192164577, 177235.00736157055, 10439.038064801254, 6376.350250113906]",205912.8
