# ra : 104.06, dec : 42.6
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[26627.0, 3159.0, 310.0, 20.0, 8.0, 0.0, 1.0]","[26476.493669135118, 3121.554894705557, 309.81620170981074, 21.93903976809507, 5.177301759691855, 0.36033960863305675, 0.13052108666750692]","[854940495.2518841, 100585297.9944001, 9993657.207270177, 710207.3191388953, 166863.41400713148, 11653.264058427689, 4504.0228589140115]",151748.4
2021-03-15_2021-03-21,59291.16655543972,"[21764.0, 2475.0, 232.0, 20.0, 4.0, 1.0, 0.0]","[21708.697103185525, 2437.7246370512435, 236.59688514400082, 15.723926970295347, 3.48135930280164, 0.27472076073016605, 0.05536841402667392]","[588567267.6870105, 66519833.318198025, 6486962.815122131, 437735.3546817548, 95277.18048340846, 7845.943976606679, 2198.1393959893535]",106726.5
2021-03-22_2021-03-28,59298.16639849528,"[33394.0, 3797.0, 381.0, 30.0, 6.0, 1.0, 0.0]","[33572.23143912355, 3856.5820643935704, 380.7240603271077, 26.01292255107518, 6.348018644810015, 0.5501468528720939, 0.16536920254899087]","[1043767811.7624166, 119881365.007238, 11857090.162845341, 810348.8550195753, 198360.18614129702, 17046.76089896114, 4484.931918988606]",176301.6
2021-03-29_2021-04-04,59305.16613796316,"[18617.0, 2172.0, 194.0, 10.0, 2.0, 0.0, 0.0]","[18687.96355628407, 2154.04427509817, 212.85006234293087, 14.555900658682482, 2.978938437198881, 0.27347146944204803, 0.09081799353719322]","[519195571.97483367, 60081119.03517018, 5939176.517984247, 405095.69121471053, 82964.83226454476, 7130.597859925334, 2709.9357864343137]",97249.4
2021-04-05_2021-04-11,59312.16602650478,"[32783.0, 3609.0, 347.0, 29.0, 10.0, 1.0, 1.0]","[32545.47681418514, 3680.335823624264, 358.4254534482212, 23.8815307203849, 5.734209822536016, 0.4808090303715932, 0.14738145875950834]","[1014115508.048446, 115210648.54458684, 11249871.22500771, 750356.531828583, 179114.06037247938, 14700.295129863516, 4680.413078890359]",167895.1
2021-04-12_2021-04-18,59318.83206319419,"[22902.0, 2534.0, 204.0, 14.0, 1.0, 1.0, 0.0]","[22659.171780701865, 2469.103261408622, 234.35387134413978, 15.649873198281677, 3.3006060369375043, 0.2713447913812705, 0.1261363967920149]","[560999111.4488692, 61773597.87175292, 5921485.058675056, 394536.98565685324, 84703.57836375835, 7281.171958770356, 2670.666292672608]",114021.9
2021-04-19_2021-04-25,59326.32490347181,"[31555.0, 3481.0, 335.0, 23.0, 5.0, 1.0, 0.0]","[31214.751311807406, 3530.1419332673127, 343.76898200406157, 23.76231285014151, 5.584058279045603, 0.5513297951702248, 0.19890201659524306]","[963708108.9681149, 108967898.56744924, 10625673.269944878, 734943.4571873965, 172740.9056023071, 16676.63154939613, 5634.345953959073]",157779.4
2021-04-26_2021-05-02,59333.15840833324,"[38690.0, 4222.0, 423.0, 39.0, 9.0, 0.0, 0.0]","[38595.749753073906, 4323.352806151596, 416.98859010354533, 28.625678724767777, 6.715761141172867, 0.6458873514279614, 0.18857208624108326]","[1210649860.5126343, 135851628.09574115, 13124437.649014054, 903193.3517763322, 212420.38636752314, 20828.508715752025, 5545.373468571182]",202635.5
2021-05-03_2021-05-09,59340.166622916775,"[36612.0, 3927.0, 371.0, 20.0, 9.0, 1.0, 0.0]","[36394.05204359939, 4003.4590156834774, 373.33891288998456, 25.15789870067574, 5.944357671335687, 0.5146153878402865, 0.18947876609346356]","[1186266483.1775606, 130993297.37720317, 12295476.120408546, 836918.7524046546, 196939.63801567847, 17207.60506338256, 5498.952614197698]",192238.0
2021-05-10_2021-05-16,59347.16690069436,"[36601.0, 4087.0, 409.0, 37.0, 8.0, 1.0, 0.0]","[36599.726746199296, 4075.898448507057, 386.94564616635427, 26.355589417653103, 5.560140477541427, 0.5214243205357337, 0.1706966501452473]","[1199448510.1652193, 133752519.02887696, 12723281.70617889, 871983.6515682646, 183291.77728814693, 18107.600297370114, 5672.18221390112]",197160.3
2021-05-17_2021-05-23,59354.16703310164,"[31936.0, 3667.0, 340.0, 33.0, 6.0, 1.0, 0.0]","[31856.044924455073, 3557.2377136780283, 331.0380565343489, 21.58184198329071, 4.550133589184689, 0.3722839284032804, 0.15971411103836353]","[1064102393.972934, 118816218.91487946, 11067475.520643355, 723175.2763029359, 152338.8239247723, 12372.629762143866, 5627.843171827033]",177384.0
2021-05-24_2021-05-30,59361.16682986069,"[34788.0, 3812.0, 306.0, 25.0, 3.0, 0.0, 0.0]","[34470.87799020156, 3824.9276655185, 355.38107820591915, 22.919182481245134, 5.040708331489164, 0.3753997843121357, 0.14592526157471805]","[1149074480.5325441, 127619492.29764864, 11887014.051783089, 768965.8807785306, 168191.74562345477, 12069.404497044476, 5106.327280964902]",190078.4
