# ra : 330.75, dec : 42.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[18179.0, 2284.0, 240.0, 13.0, 4.0, 0.0, 0.0]","[17959.81010049887, 2158.156348490536, 225.24825104651475, 14.327741789387474, 3.8906507028067505, 0.3640788648012934, 0.050710903630303374]","[546306369.6076652, 65451289.07641229, 6812959.188224998, 435145.1983514702, 116467.33092844293, 11042.236070605879, 1481.6141412316472]",116502.0
2021-03-15_2021-03-21,59291.16655543972,"[11692.0, 1381.0, 134.0, 11.0, 1.0, 1.0, 0.0]","[11880.269278314885, 1391.0711767686541, 141.78103498588635, 9.05684945598021, 2.1991633808447824, 0.17974114559942656, 0.05060055085305375]","[380132708.86090326, 44231840.666134536, 4476748.483659577, 287253.52478662675, 68135.10277007158, 6007.151641132084, 1616.6785497404837]",75033.2
2021-03-22_2021-03-28,59298.16639849528,"[16361.0, 2000.0, 222.0, 14.0, 5.0, 0.0, 0.0]","[15940.254195729563, 1885.7892537693879, 192.32406645508198, 11.997386996832674, 3.016228429179657, 0.26139973325439136, 0.06558775910393363]","[487288554.4956352, 57304120.68522025, 5828786.589511633, 364312.79178383766, 90705.043876762, 7750.9786024197465, 2213.2783501057797]",102248.0
2021-03-29_2021-04-04,59305.16613796316,"[23370.0, 2649.0, 311.0, 19.0, 3.0, 1.0, 0.0]","[23550.0756983061, 2694.9041391804094, 275.1029062153466, 17.943829077237204, 4.394634889636284, 0.3274967701507271, 0.1783451317854239]","[691982146.898829, 79281232.28036962, 8093275.883213287, 528796.3361211544, 128376.81069882264, 9643.390565642376, 4720.297440084135]",126560.8
2021-04-05_2021-04-11,59312.16602650478,"[31586.0, 3643.0, 381.0, 23.0, 6.0, 0.0, 0.0]","[31426.45505855149, 3574.535428997971, 362.37152808812954, 23.321998656587485, 5.895922660511268, 0.428621442929116, 0.15259591620756952]","[1014250933.4112474, 115404750.41672505, 11699047.85485146, 750388.5205866336, 188852.63549488588, 12746.337926010276, 4587.78268095204]",167805.5
2021-04-12_2021-04-18,59318.83206319419,"[13937.0, 1631.0, 173.0, 14.0, 2.0, 1.0, 0.0]","[13728.44650734218, 1568.8794354427184, 158.6630382617845, 10.072193222577692, 2.401547555132423, 0.2970160709285855, 0.07690588485036043]","[381493258.6870545, 43340498.93197235, 4361541.084839964, 278413.7262395379, 66945.77412158187, 7711.564038167418, 1733.0827491492087]",93321.2
2021-04-19_2021-04-25,59326.32490347181,"[30147.0, 3456.0, 346.0, 19.0, 7.0, 0.0, 0.0]","[29834.899284713112, 3339.952824918133, 334.1512329157087, 21.385739156989036, 4.929348785701759, 0.4619659840616783, 0.15990200072160307]","[906257566.8527702, 101776811.03261706, 10183053.833785849, 652659.3646292556, 152280.53975809345, 13748.95406962436, 5056.18496776215]",154120.1
2021-04-26_2021-05-02,59333.15840833324,"[36141.0, 4219.0, 438.0, 41.0, 8.0, 2.0, 1.0]","[35643.793172752834, 4008.182980076782, 406.2822153042325, 26.547100154303656, 6.636403694458317, 0.4872563363588777, 0.15168057938966759]","[1180977756.9114442, 132695164.1761931, 13443542.139874531, 872585.9559615727, 219926.6744724766, 16549.339134602644, 4880.827525721376]",194393.3
2021-05-03_2021-05-09,59340.166622916775,"[35867.0, 4055.0, 405.0, 24.0, 5.0, 0.0, 0.0]","[35527.41812709358, 3951.0215139167926, 388.66738308516454, 24.86585858198514, 6.474078906828424, 0.5828875772892708, 0.20560481333421582]","[1208416951.7696502, 134308718.30173343, 13191652.599277936, 843113.1929653619, 218225.33358448808, 19571.32130976392, 6889.130149967432]",198114.0
2021-05-10_2021-05-16,59347.16690069436,"[37343.0, 4229.0, 439.0, 36.0, 6.0, 2.0, 0.0]","[37050.15698373641, 4146.391578217025, 403.9113964063657, 25.976997011944555, 6.317607762987363, 0.4966314802890862, 0.14930837941695943]","[1280756577.2103822, 143274405.00475636, 13948787.285743395, 897083.1290892872, 217116.54221409836, 17208.29341618675, 5580.990335106128]",203205.4
