# ra : 49.05, dec : 41.25
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[29944.0, 3449.0, 334.0, 19.0, 5.0, 1.0, 0.0]","[29971.425224917297, 3389.023546691919, 339.64304454490406, 22.124008464501365, 5.446123514071324, 0.46589063743285125, 0.16077607077096387]","[935294766.0752586, 105738986.51563847, 10621747.030583717, 692535.8143159556, 169224.9512314647, 14343.27573047538, 4740.784531709059]",145422.9
2021-03-15_2021-03-21,59291.16655543972,"[11070.0, 1177.0, 136.0, 13.0, 2.0, 0.0, 0.0]","[10886.598925938817, 1249.646250298441, 123.00724278712586, 7.612207980314814, 1.993931083123057, 0.14999944081269492, 0.06901588734985568]","[327292958.6444035, 37586249.917695686, 3710521.937480127, 228228.9205679783, 61484.00704928896, 4493.903005325229, 2040.2487375471858]",67106.5
2021-03-22_2021-03-28,59298.16639849528,"[28267.0, 3119.0, 327.0, 15.0, 5.0, 0.0, 0.0]","[28250.251996840056, 3212.83471025643, 323.42296961720234, 21.236491641767266, 5.2136757890934105, 0.4109424506495368, 0.14302270679761206]","[822972476.3741263, 93642498.86967699, 9436440.126072435, 620237.271632982, 152407.9355805004, 11983.504630383019, 4551.181894092327]",147174.6
2021-03-29_2021-04-04,59305.16613796316,"[17505.0, 1960.0, 206.0, 13.0, 3.0, 0.0, 0.0]","[17518.53364613771, 2002.2323971813105, 204.24227378295566, 13.632248556125644, 3.1745180699555022, 0.28549425227386593, 0.07245712153730088]","[508118285.8010004, 57921616.19822733, 5920643.170477263, 395721.4142403705, 92838.90091178971, 8021.130478555905, 2130.0566669272084]",92575.7
2021-04-05_2021-04-11,59312.16602650478,"[30241.0, 3350.0, 323.0, 15.0, 6.0, 1.0, 0.0]","[30338.271332939377, 3360.7775489119826, 332.433813415775, 22.47731685855552, 5.365410984075466, 0.44157513456515635, 0.14518639015793894]","[974084931.758285, 108260215.54575886, 10726758.441411989, 724460.163792791, 175419.0189712813, 14587.078008429744, 4707.808742899184]",150686.8
2021-04-12_2021-04-18,59318.83206319419,"[12123.0, 1308.0, 130.0, 9.0, 2.0, 1.0, 0.0]","[12000.210385108865, 1337.2343494238708, 129.46918435755546, 8.403879255891878, 2.0537518829062016, 0.2482128575813164, 0.06746961399501089]","[323441806.5705492, 35966499.61911511, 3493874.536123346, 227001.63967752925, 55396.77314588068, 6371.158130939133, 1572.7116625256701]",69052.7
2021-04-19_2021-04-25,59326.32490347181,"[27806.0, 3071.0, 292.0, 19.0, 5.0, 0.0, 0.0]","[27932.9893640491, 3079.5767772814834, 302.711428842274, 19.458963614065294, 5.0379193179294655, 0.4409136174797507, 0.13418542070173475]","[852562787.735961, 94162791.37003902, 9275817.596607659, 601173.1257505699, 156048.63747850197, 13106.484391530408, 3815.0979977343895]",139132.3
2021-04-26_2021-05-02,59333.15840833324,"[37451.0, 4171.0, 438.0, 36.0, 7.0, 0.0, 0.0]","[37618.66650881457, 4151.530382896132, 410.8433037365695, 26.98159183228058, 6.759720766806924, 0.6454994980959913, 0.18428838424511457]","[1244094477.06448, 137176554.74580374, 13568090.915446553, 891710.5431999963, 224164.99436623222, 20954.426607299367, 5701.146344981643]",194222.2
2021-05-03_2021-05-09,59340.166622916775,"[33695.0, 3713.0, 367.0, 17.0, 6.0, 0.0, 0.0]","[33523.64581966419, 3679.896772971207, 352.52352091063585, 23.689764258221572, 5.952540930004704, 0.457035957224471, 0.15367240112861086]","[1138411236.1418421, 124711655.78004612, 11936234.217862843, 800191.9619506208, 202310.5056329884, 14750.177996988083, 5782.469322768404]",188568.9
2021-05-10_2021-05-16,59347.16690069436,"[38368.0, 4286.0, 386.0, 30.0, 4.0, 2.0, 0.0]","[38518.12083702551, 4204.8015516341275, 403.1293766975291, 26.408013209685716, 6.591525796929249, 0.5784644377426938, 0.15272552069774994]","[1306156259.0246937, 142612137.15538597, 13692361.39118258, 896337.4726141766, 222076.78143917254, 20947.462986270482, 5226.768218679118]",200406.1
2021-05-17_2021-05-23,59354.16703310164,"[31356.0, 3417.0, 341.0, 19.0, 5.0, 1.0, 0.0]","[31231.466774210498, 3427.896978684046, 324.0899426087245, 20.393063978915286, 5.1228573525136785, 0.3599378698512211, 0.14223173394256533]","[1009438409.3968872, 110713372.74932906, 10452680.711619984, 657483.1222520721, 166197.45931096855, 11537.803647737108, 4850.618188166661]",158523.7
