# ra : 187.75, dec : 12.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[18473.0, 2417.0, 250.0, 29.0, 9.0, 0.0, 0.0]","[18413.930249274767, 2390.55865084813, 264.4633547602788, 17.1394437509544, 4.740570312247437, 0.39224488758615184, 0.16215620771708977]","[618615879.4353818, 80242255.72870316, 8861289.228759935, 575293.4427885503, 157467.49420557445, 12594.114291545939, 5319.733357240853]",117559.3
2021-03-15_2021-03-21,59291.16655543972,"[18990.0, 2572.0, 255.0, 22.0, 6.0, 0.0, 0.0]","[19073.47323504799, 2468.6253842183064, 265.70429246862045, 17.173468796396143, 5.021286438784353, 0.4477213516700267, 0.12100323919786289]","[584470196.9109185, 75530853.4524337, 8119838.0830232585, 525945.340562663, 151837.34578978372, 13168.1322086685, 4009.141015841606]",118120.8
2021-03-22_2021-03-28,59298.16639849528,"[25280.0, 3257.0, 343.0, 19.0, 7.0, 3.0, 0.0]","[25187.47822617231, 3247.0564344691784, 352.4575202242969, 23.048476725214446, 6.769776351269674, 0.5941903735093447, 0.15568917558790102]","[746316917.810735, 96277638.05730994, 10439955.653594159, 679542.4903731287, 199238.78561052773, 17204.100472109225, 4731.727602580107]",152671.8
2021-03-29_2021-04-04,59305.16613796316,"[19298.0, 2540.0, 260.0, 22.0, 6.0, 0.0, 0.0]","[19319.757562312156, 2493.6472074721923, 273.4020481978547, 18.687219759371388, 5.584037048989515, 0.40916078270112205, 0.12217347821224633]","[606415623.229266, 78086203.34830572, 8539879.510510743, 584570.0910824548, 174532.20238183063, 12829.209339518779, 4379.067390529861]",118672.0
2021-04-05_2021-04-11,59312.16602650478,"[26375.0, 3339.0, 348.0, 18.0, 4.0, 0.0, 1.0]","[26230.57864681463, 3290.3853310243744, 354.2999243059924, 23.92405957654314, 6.833174254128843, 0.5699845663859157, 0.18755949413979706]","[840316120.1054384, 105594912.4984927, 11388978.106962943, 773585.3455599153, 217765.8279104146, 18528.531108088155, 5566.058740810079]",155484.2
2021-04-12_2021-04-18,59318.83206319419,"[21790.0, 2569.0, 282.0, 12.0, 6.0, 2.0, 0.0]","[21574.0712201102, 2634.560861586775, 278.14293697851645, 18.219144815230656, 5.163295848901871, 0.49864599834305495, 0.14188445398183985]","[601328270.3292565, 73182297.62678754, 7722973.242622857, 501914.2790405285, 144350.87235802686, 13053.833233651974, 3586.210318703063]",129069.1
2021-04-19_2021-04-25,59326.32490347181,"[20542.0, 2521.0, 279.0, 20.0, 12.0, 0.0, 0.0]","[20344.302945464005, 2540.6089514859314, 274.15166543159086, 18.222460277729876, 5.494563953020254, 0.4043410778349894, 0.14859255311917346]","[627598824.0606525, 78283745.22011586, 8428266.528068922, 559562.6877073018, 169099.5209164561, 12211.59487240383, 4232.6029356019135]",128015.6
2021-04-26_2021-05-02,59333.15840833324,"[20849.0, 2672.0, 298.0, 19.0, 5.0, 0.0, 0.0]","[20763.90844457025, 2638.4765107759904, 282.5330900499354, 19.328970990232698, 5.709202560864425, 0.4386238527237008, 0.1483088993046255]","[646363831.9748614, 81927914.59631701, 8757006.339135764, 599060.2033226367, 175805.20088029304, 13718.325952576182, 4675.922389535045]",144873.5
2021-05-03_2021-05-09,59340.166622916775,"[21116.0, 2644.0, 319.0, 18.0, 10.0, 1.0, 0.0]","[20962.724697390324, 2663.932046836935, 282.50861855725907, 17.981633794596558, 5.216246071600807, 0.39500790634931315, 0.13341241412676205]","[670297784.0086232, 84897122.95979862, 8978792.090496786, 570590.8958591967, 166448.33023151988, 13228.19915912264, 4332.356489522118]",152162.7
2021-05-10_2021-05-16,59347.16690069436,"[24120.0, 3012.0, 319.0, 23.0, 2.0, 1.0, 0.0]","[24061.2799181071, 3027.5986057347636, 319.8052168767927, 20.365039119625063, 5.898541952274569, 0.3998680814060355, 0.13723062517656223]","[791333848.2515905, 99562705.11033233, 10499883.293942269, 666771.0395324454, 193088.37102432933, 13547.10273392604, 4790.938671890006]",154814.8
