source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
Mkn421,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,32,2.6,3.0,0.73304,0.07684,1e-12,7.33040000e-13,7.68400000e-14,138.19,OK,OK,0.008310754178582088,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-08_2021-03-14/fit.log
Mkn421,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,27,2.6,3.0,0.93123,0.07917,1e-12,9.31230000e-13,7.91700000e-14,214.64,OK,OK,0.008067239215912356,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-15_2021-03-21/fit.log
Mkn421,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,36,2.6,3.0,0.49326,0.06325,1e-12,4.93260000e-13,6.32500000e-14,84.21,OK,OK,0.0057505159051114635,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-22_2021-03-28/fit.log
Mkn421,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,31,2.6,3.0,0.56897,0.0779,1e-12,5.68970000e-13,7.79000000e-14,74.35,OK,OK,0.007081234005795518,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-03-29_2021-04-04/fit.log
Mkn421,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,39,2.6,3.0,0.39261,0.06199,1e-12,3.92610000e-13,6.19900000e-14,53.55,OK,OK,0.005188183165809106,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-05_2021-04-11/fit.log
Mkn421,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,31,2.6,3.0,0.75055,0.07184,1e-12,7.50550000e-13,7.18400000e-14,167.3,OK,OK,0.009011995048548403,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-12_2021-04-18/fit.log
Mkn421,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,36,2.6,3.0,0.33241,0.0695,1e-12,3.32410000e-13,6.95000000e-14,30.32,OK,OK,0.0028625144980691138,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-19_2021-04-25/fit.log
Mkn421,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,42,2.6,3.0,0.54033,0.06819,1e-12,5.40330000e-13,6.81900000e-14,91.72,OK,OK,0.005613155472625258,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-04-26_2021-05-02/fit.log
Mkn421,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,41,2.6,3.0,0.51885,0.06244,1e-12,5.18850000e-13,6.24400000e-14,106.39,OK,OK,0.005870924819816445,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-03_2021-05-09/fit.log
Mkn421,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,41,2.6,3.0,0.52875,0.06103,1e-12,5.28750000e-13,6.10300000e-14,107.56,OK,OK,0.004922173962679871,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/week/2021-05-10_2021-05-16/fit.log
