# ra : 253.468, dec : 39.76
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[28244.0, 3349.0, 361.0, 29.0, 3.0, 0.0, 1.0]","[28266.83792866355, 3243.8814472829754, 332.11256248108293, 22.04123503037009, 5.547477356089665, 0.46917999868861066, 0.1032220643759389]","[910352525.1991527, 104229015.35621849, 10673020.112842398, 708629.1576374343, 178332.04384495912, 14761.93003856017, 3512.986106876556]",137289.0
2021-03-15_2021-03-21,59291.16655543972,"[27447.0, 3186.0, 350.0, 34.0, 11.0, 2.0, 0.0]","[27511.185165779953, 3127.7921685292104, 312.8524818987332, 19.714284378822978, 5.101250122585444, 0.3601222808241907, 0.11756003415400362]","[795901673.4293799, 90410991.47452772, 9040309.367472837, 570480.9922904775, 146594.03575732934, 10318.935862335218, 3672.531382969092]",124433.5
2021-03-22_2021-03-28,59298.16639849528,"[25628.0, 2966.0, 332.0, 21.0, 12.0, 0.0, 1.0]","[25370.336184964268, 2936.826812147011, 298.2996954763112, 19.04771794144432, 4.802726145160464, 0.33258387652704974, 0.2077848476203964]","[769072784.7422425, 88800626.80812423, 8980347.808327723, 570948.32188991, 146285.3651005097, 10959.728480477752, 5867.17738277894]",128567.3
2021-03-29_2021-04-04,59305.16613796316,"[35752.0, 4160.0, 438.0, 32.0, 11.0, 1.0, 1.0]","[35288.53944165772, 3994.890865214825, 403.54752563934534, 25.44847892214502, 6.689999286149957, 0.4621548064675044, 0.13729560944471558]","[1083630972.830967, 122719193.02168442, 12407509.11892846, 783337.3437397854, 205349.32244862977, 14958.870382022658, 4803.497933121348]",148109.1
2021-04-05_2021-04-11,59312.16602650478,"[39054.0, 4346.0, 478.0, 37.0, 15.0, 1.0, 0.0]","[38964.23287657642, 4437.419499223421, 450.3595458958219, 29.52253910948445, 7.630424569122822, 0.6065108597644938, 0.21091103851644039]","[1299196664.8545396, 147682392.62382117, 14962302.212752843, 984329.1082058039, 253877.27938962463, 19475.43863393669, 7018.624196088458]",187561.7
2021-04-12_2021-04-18,59318.83206319419,"[36368.0, 4051.0, 439.0, 37.0, 18.0, 1.0, 0.0]","[35886.188842867974, 3950.6600846854367, 390.4362374108372, 25.190224038725006, 6.321098419393795, 0.4999522993909308, 0.18076302985008583]","[955339801.9049249, 105420934.638071, 10437078.932782035, 671670.741291949, 170106.69066443728, 12960.819947769387, 4910.992495126715]",154595.3
2021-04-19_2021-04-25,59326.32490347181,"[37342.0, 4286.0, 481.0, 39.0, 18.0, 4.0, 0.0]","[36843.241563118216, 4158.939534919209, 417.49424051722934, 27.54041888644122, 6.969796214309525, 0.5296571065928409, 0.19050129593153203]","[1149471785.255646, 129736590.714027, 13021658.636297619, 856702.8264094646, 217404.15957261424, 16091.132994546737, 6278.1225979969695]",175645.4
2021-04-26_2021-05-02,59333.15840833324,"[38090.0, 4477.0, 541.0, 62.0, 23.0, 3.0, 0.0]","[37833.88836700641, 4270.0599465294135, 430.7378072984729, 28.04705215579247, 7.295206500530553, 0.5804350847422438, 0.23519106614199628]","[1201609822.4491212, 135391982.30480984, 13647794.006586121, 886574.7382616427, 231970.32815277058, 18011.053035684337, 7366.56339984298]",191293.5
2021-05-03_2021-05-09,59340.166622916775,"[41164.0, 4956.0, 625.0, 74.0, 45.0, 7.0, 2.0]","[40703.62206529103, 4492.129007881335, 440.8350634167735, 27.43563150988928, 6.917971497008373, 0.5047521884431525, 0.212936309337244]","[1298537300.3448505, 143572118.44632986, 14088803.491158651, 875776.3624658181, 221102.11009020967, 15233.308722940525, 7119.503294355755]",195991.4
2021-05-10_2021-05-16,59347.16690069436,"[37826.0, 4475.0, 547.0, 64.0, 20.0, 5.0, 0.0]","[37218.58734052305, 4143.384950422334, 404.03731571273266, 24.6471160427616, 6.091081012667917, 0.4777658740981027, 0.16206895766817914]","[1259229730.7420917, 140277689.55293807, 13671089.778451806, 831886.6046916615, 207158.55083385314, 16651.47722827148, 5811.9813449798985]",182864.0
2021-05-17_2021-05-23,59354.16703310164,"[35472.0, 4007.0, 438.0, 41.0, 14.0, 2.0, 0.0]","[35107.46999377555, 3937.7477891497365, 377.5430301843164, 22.939903238933955, 5.626847102534985, 0.481596998482657, 0.20219114358643736]","[1190507682.93943, 133404439.71753837, 12793030.062367372, 775163.8709044257, 190349.2779704469, 16218.677294199828, 6601.816692245952]",179138.8
2021-05-24_2021-05-30,59361.16682986069,"[38324.0, 4419.0, 464.0, 41.0, 19.0, 1.0, 1.0]","[37922.42914968132, 4210.29426576136, 407.3442511585603, 24.788975814097846, 5.842431995519023, 0.5065222897374816, 0.17571000332640968]","[1233229191.3953907, 136748543.89341092, 13227767.42966728, 805503.0456641507, 189310.49501146318, 15754.903103753873, 5607.112134521697]",189740.6
2021-05-31_2021-06-06,59368.16688032413,"[40112.0, 4513.0, 502.0, 57.0, 9.0, 2.0, 1.0]","[40072.06596225106, 4484.229388860496, 430.6574101710453, 27.359588677351578, 6.095620305973262, 0.6143944245662326, 0.161579291078449]","[1305392068.977368, 146113935.12831107, 14034412.219216285, 891904.8885696088, 198042.14938140585, 19902.62170930859, 5646.25453636787]",194850.6
2021-06-07_2021-06-13,59375.16701273163,"[40498.0, 4672.0, 506.0, 66.0, 18.0, 5.0, 0.0]","[40231.63818553088, 4511.675197526795, 440.50384762189134, 27.92319085569113, 6.59671085451047, 0.4952776454376024, 0.20499604165658922]","[1387415066.0587406, 155484580.00833175, 15148966.160595428, 958519.4714689428, 226474.5687027954, 16727.319435070993, 6664.669503351971]",203892.0
2021-06-14_2021-06-20,59382.16671944457,"[40283.0, 4626.0, 460.0, 30.0, 13.0, 0.0, 0.0]","[40074.795596318036, 4454.994003721621, 426.95508942568677, 25.348036609295782, 6.236746628065224, 0.5183782673365606, 0.23442838493012058]","[1368460817.083645, 152089856.01786217, 14560110.719488645, 862451.3788788458, 211795.12735555365, 18288.73092707192, 7782.37254127378]",201795.7
2021-06-21_2021-06-27,59389.16656782394,"[39490.0, 4445.0, 439.0, 27.0, 16.0, 3.0, 0.0]","[39307.665284641764, 4327.173699693067, 407.53990257679857, 24.599392384222792, 5.764161632697955, 0.42416984483836895, 0.17638426607546612]","[1283967354.6558166, 141367616.54626486, 13326546.483647702, 808542.8789357069, 190593.97848320313, 14507.452210539559, 5589.731504347287]",192523.3
2021-06-28_2021-07-04,59396.16681620365,"[39664.0, 4476.0, 472.0, 49.0, 18.0, 0.0, 0.0]","[39286.323646636105, 4381.339896425747, 423.7060833287433, 25.914634578049622, 6.394268953650755, 0.46713789473277234, 0.19601391196184204]","[1302685719.13457, 144952057.70038238, 13955356.20724135, 849620.4242998025, 206800.6543922159, 15268.804533089746, 7218.92964972209]",194241.7
2021-07-05_2021-07-11,59403.16680162038,"[36061.0, 4242.0, 434.0, 35.0, 13.0, 1.0, 0.0]","[35811.12544647236, 4001.3594709264357, 387.66196677321057, 23.577792822995708, 6.023008372866755, 0.43380222994146717, 0.14327815145697062]","[1217530248.5781276, 136025943.83158892, 13170422.156516688, 796556.8301359935, 204412.3043095275, 14415.646141351843, 5205.888473727312]",183662.1
2021-07-12_2021-07-18,59410.16673958351,"[33700.0, 3851.0, 417.0, 26.0, 8.0, 3.0, 0.0]","[33474.243761500395, 3730.3682380267483, 357.83918098068324, 21.443071383349817, 5.6131025673848, 0.4088222047955587, 0.18044804717617982]","[1038563569.5435869, 116224506.23030116, 11176241.298783446, 667841.473175568, 173609.28073789575, 12562.585949406199, 5496.366497560727]",159055.2
2021-07-19_2021-07-25,59417.16679537053,"[38544.0, 4269.0, 459.0, 34.0, 11.0, 0.0, 0.0]","[38220.7420086335, 4245.0761065355755, 407.6727650958414, 24.83925821302621, 6.026196542456076, 0.421617778239355, 0.1581943776910759]","[1258911697.8924513, 139510017.5543974, 13372057.636359513, 816363.9286982295, 200201.18448489712, 12661.178256025336, 4441.1354223623275]",201544.0
2021-07-26_2021-08-01,59424.16695729188,"[17203.0, 1922.0, 203.0, 12.0, 5.0, 0.0, 0.0]","[17218.336329310234, 1903.2091839803895, 182.00615515362063, 11.258391544382073, 2.9564976560364156, 0.22716840351292575, 0.09808418359159404]","[545642515.0829871, 60163224.31092972, 5754376.039477583, 356280.41182819183, 94006.68991470417, 6653.388553510837, 3005.148115316638]",89746.5
2021-08-02_2021-08-08,59431.16673773149,"[40791.0, 4594.0, 467.0, 38.0, 12.0, 1.0, 0.0]","[40532.05285925995, 4549.359085969549, 443.2443474983744, 26.706016297222188, 7.051193419934438, 0.44621033993027226, 0.17966766812749643]","[1363935731.6767275, 153258078.75316066, 14937873.483360866, 904257.2392140909, 237257.80845662314, 14497.561843402918, 6034.11405914772]",200072.1
2021-08-09_2021-08-15,59438.16700601812,"[40159.0, 4595.0, 433.0, 27.0, 12.0, 2.0, 1.0]","[40039.06275989971, 4455.700917951394, 425.7483654601586, 25.45243955580989, 6.386640016369618, 0.5505139427580569, 0.19628654477523594]","[1366274668.8003912, 152212898.0008901, 14606508.293312237, 880416.0901288786, 223376.79454367363, 18304.64152364513, 7116.098248508556]",200564.6
2021-08-16_2021-08-22,59445.16691111219,"[40209.0, 4632.0, 482.0, 30.0, 10.0, 1.0, 0.0]","[40331.80477072669, 4537.199710013081, 438.0463457885917, 27.403133057483597, 6.468755077680695, 0.5211770289626528, 0.20531145444529872]","[1373378774.2309144, 154454976.4814357, 14921688.715699503, 933683.9756873244, 221635.91673917935, 18166.374933446452, 6105.257225163921]",203762.8
2021-08-23_2021-08-29,59452.16672245379,"[33421.0, 3776.0, 343.0, 36.0, 4.0, 2.0, 0.0]","[32983.895242340855, 3686.222028600973, 358.0325431855547, 21.697009898070913, 5.515166735987242, 0.39284349607865826, 0.13333186396735155]","[1085931677.699949, 121595201.79339607, 11806910.791914059, 719222.9916399043, 181595.34504237666, 13290.36254922495, 4667.568113304537]",166233.6
