# ra : 49.95, dec : 41.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[29681.0, 3420.0, 349.0, 28.0, 6.0, 0.0, 0.0]","[29701.06590138288, 3408.9603105332985, 338.4248876138886, 22.20217880466032, 5.400936589647951, 0.41186462690611336, 0.15859481851855967]","[927638624.0629379, 106441261.51459569, 10587305.972063541, 696622.2177445226, 170289.18037976237, 13170.758409859964, 5122.921956478188]",145492.9
2021-03-15_2021-03-21,59291.16655543972,"[10993.0, 1273.0, 116.0, 11.0, 3.0, 1.0, 0.0]","[10752.9571528653, 1253.4384174940233, 121.61118389759174, 7.6749967226328195, 1.95238120095258, 0.16037915018442292, 0.040669641207166624]","[322832568.8343075, 37634652.28110073, 3663540.9027793356, 230429.79035625688, 60366.159970316236, 4857.489844215028, 1401.5321345838727]",67660.0
2021-03-22_2021-03-28,59298.16639849528,"[27984.0, 3296.0, 306.0, 6.0, 4.0, 2.0, 1.0]","[27967.27938894471, 3223.0994637506506, 320.7936955198158, 21.645745587227285, 5.249172454988589, 0.40326575171524504, 0.14122547987740053]","[815302436.4413557, 93995923.30266607, 9365292.526308406, 633029.3648985907, 153103.02700762195, 12434.118556814099, 3994.2936913565113]",147688.6
2021-03-29_2021-04-04,59305.16613796316,"[17086.0, 1998.0, 177.0, 15.0, 3.0, 1.0, 0.0]","[17054.337650744375, 1979.7899879751974, 199.03873101177663, 13.139392675399789, 3.2671206005379183, 0.29760449897745267, 0.07046486442722877]","[493565360.7832802, 57164060.7363008, 5754933.866974033, 380360.6025120838, 95306.34127019269, 8681.943399630794, 2342.2166593690235]",92589.0
2021-04-05_2021-04-11,59312.16602650478,"[30060.0, 3320.0, 335.0, 19.0, 6.0, 0.0, 0.0]","[29980.209093997808, 3365.0916298318243, 329.4238494690503, 22.281373981689267, 5.455814676141385, 0.43403410790297325, 0.11027796075180454]","[962287154.0593585, 108337252.0611086, 10630513.79334544, 717339.3735720534, 176669.50233110506, 13714.33954504806, 3507.893254119071]",150701.0
2021-04-12_2021-04-18,59318.83206319419,"[12095.0, 1304.0, 123.0, 7.0, 2.0, 0.0, 1.0]","[12018.276135690228, 1355.186208963558, 132.96380924912438, 8.353823718776388, 2.0875586142780818, 0.28552686187786036, 0.040471456896406716]","[322994093.80587304, 36347346.247866035, 3578118.356534145, 224696.6282604889, 55781.27940622822, 7839.941524406579, 1037.2089628614706]",69522.0
2021-04-19_2021-04-25,59326.32490347181,"[27595.0, 3061.0, 296.0, 18.0, 5.0, 2.0, 0.0]","[27737.35126614126, 3094.6386323477846, 301.88640642347235, 19.424270740884083, 5.101479322104545, 0.44000828143164694, 0.16926997380673925]","[846162408.2539525, 94584725.92676018, 9248339.255913828, 600117.884197095, 157682.44612954985, 13805.10175039292, 5334.052742047758]",139424.3
2021-04-26_2021-05-02,59333.15840833324,"[37047.0, 3963.0, 415.0, 32.0, 8.0, 2.0, 1.0]","[37217.23321455314, 4161.428225554355, 408.3959338697862, 26.13422784967869, 6.8577579305080185, 0.5512834030880512, 0.2503756841902168]","[1229904885.1270251, 137395766.02072778, 13477837.449676938, 863633.8750980125, 226208.3893217545, 18210.120131617856, 7100.221105645743]",194736.2
2021-05-03_2021-05-09,59340.166622916775,"[33511.0, 3674.0, 331.0, 20.0, 9.0, 0.0, 0.0]","[33084.10834099069, 3684.7157348956216, 350.6097641427585, 23.140974063484787, 5.776868098315908, 0.5076731318766868, 0.13471910891068717]","[1122939242.531947, 124815381.46386315, 11862238.269150339, 780568.2220332167, 196251.65827996965, 17369.839360572445, 4647.905626216287]",188666.9
2021-05-10_2021-05-16,59347.16690069436,"[37862.0, 4263.0, 388.0, 32.0, 0.0, 0.0, 0.0]","[38001.26441687835, 4207.984627818946, 400.0375399795279, 25.98014515316878, 6.583585591685396, 0.6127946739574159, 0.2099244133025356]","[1287881974.1986156, 142650144.86365932, 13575291.5632081, 882455.7404184559, 223564.32097184678, 21436.384338691943, 6570.346115051312]",200411.2
