# time	flux
# # inc=90.00, dt=1.0, N=484
6.00000000e+02	4.41285364e-01
6.01000000e+02	4.36027835e-01
6.02000000e+02	4.34292758e-01
6.03000000e+02	4.29878068e-01
6.04000000e+02	4.28427165e-01
6.05000000e+02	4.32238356e-01
6.06000000e+02	4.29698749e-01
6.07000000e+02	4.34870882e-01
6.08000000e+02	4.43677604e-01
6.09000000e+02	4.43551389e-01
6.10000000e+02	4.43534097e-01
6.11000000e+02	4.32803778e-01
6.12000000e+02	4.29489345e-01
6.13000000e+02	4.33958237e-01
6.14000000e+02	4.31382247e-01
6.15000000e+02	4.28971866e-01
6.16000000e+02	4.34707870e-01
6.17000000e+02	4.33768073e-01
6.18000000e+02	4.24462643e-01
6.19000000e+02	4.26303512e-01
6.20000000e+02	4.23927186e-01
6.21000000e+02	4.34629646e-01
6.22000000e+02	4.37277476e-01
6.23000000e+02	4.28091308e-01
6.24000000e+02	4.26682368e-01
6.25000000e+02	4.28429471e-01
6.26000000e+02	4.33465743e-01
6.27000000e+02	4.36850664e-01
6.28000000e+02	4.35549834e-01
6.29000000e+02	4.33826286e-01
6.30000000e+02	4.31255968e-01
6.31000000e+02	4.19287410e-01
6.32000000e+02	4.21341384e-01
6.33000000e+02	4.21141218e-01
6.34000000e+02	4.24346245e-01
6.35000000e+02	4.28606328e-01
6.36000000e+02	4.31105901e-01
6.37000000e+02	4.35977050e-01
6.38000000e+02	4.37713967e-01
6.39000000e+02	4.40115177e-01
6.40000000e+02	4.37463116e-01
6.41000000e+02	4.33312324e-01
6.42000000e+02	4.34160882e-01
6.43000000e+02	4.32063892e-01
6.44000000e+02	4.32940551e-01
6.45000000e+02	4.24087207e-01
6.46000000e+02	4.22307544e-01
6.47000000e+02	4.29979875e-01
6.48000000e+02	4.42983761e-01
6.49000000e+02	4.42929467e-01
6.50000000e+02	4.49523267e-01
6.51000000e+02	4.45074285e-01
6.52000000e+02	4.41058957e-01
6.53000000e+02	4.50826636e-01
6.54000000e+02	4.51255467e-01
6.55000000e+02	4.56102288e-01
6.56000000e+02	4.54903304e-01
6.57000000e+02	4.53857457e-01
6.58000000e+02	4.58501697e-01
6.59000000e+02	4.55822072e-01
6.60000000e+02	4.52337353e-01
6.61000000e+02	4.58841451e-01
6.62000000e+02	4.61618572e-01
6.63000000e+02	4.58642347e-01
6.64000000e+02	4.63599505e-01
6.65000000e+02	4.64196664e-01
6.66000000e+02	4.65574102e-01
6.67000000e+02	4.77334784e-01
6.68000000e+02	4.82225147e-01
6.69000000e+02	4.76475311e-01
6.70000000e+02	4.76903160e-01
6.71000000e+02	4.69092867e-01
6.72000000e+02	4.67359149e-01
6.73000000e+02	4.77346290e-01
6.74000000e+02	4.74819980e-01
6.75000000e+02	4.72257614e-01
6.76000000e+02	4.78700355e-01
6.77000000e+02	4.77704513e-01
6.78000000e+02	4.74461148e-01
6.79000000e+02	4.75638893e-01
6.80000000e+02	4.78302394e-01
6.81000000e+02	4.76912483e-01
6.82000000e+02	4.72519838e-01
6.83000000e+02	4.67771756e-01
6.84000000e+02	4.64975330e-01
6.85000000e+02	4.65104076e-01
6.86000000e+02	4.68908632e-01
6.87000000e+02	4.69268712e-01
6.88000000e+02	4.70077293e-01
6.89000000e+02	4.74081192e-01
6.90000000e+02	4.85172082e-01
6.91000000e+02	4.92141380e-01
6.92000000e+02	4.88256558e-01
6.93000000e+02	4.79224011e-01
6.94000000e+02	4.74710996e-01
6.95000000e+02	4.72715752e-01
6.96000000e+02	4.76423485e-01
6.97000000e+02	4.74595469e-01
6.98000000e+02	4.80272074e-01
6.99000000e+02	4.86836212e-01
7.00000000e+02	4.92507480e-01
