# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-03-08_2021-03-14,59284.33328206009,"[29993.0, 3587.0, 492.0, 49.0, 12.0, 5.0, 0.0]","[29243.652722059553, 3363.8779377954856, 343.65415931337446, 22.050398968251002, 5.476849125988315, 0.44013571818889213, 0.11258491617270598]","[974127581.0722984, 111906053.63591918, 11414497.560206002, 732261.463501954, 182660.70065980687, 14601.949326737458, 3980.0753733849706]",139426.0
2021-03-15_2021-03-21,59291.16655543972,"[29885.0, 3659.0, 523.0, 72.0, 18.0, 2.0, 1.0]","[29258.75759635251, 3358.7003245244196, 339.5044191804614, 22.119083181719894, 5.342971708180498, 0.3755761580925597, 0.19130934247249926]","[878458366.141048, 100491722.87936412, 10132730.53891286, 655618.0170880669, 157226.0191871313, 11478.308272248421, 6155.36322246254]",145651.9
2021-03-22_2021-03-28,59298.16639849528,"[40709.0, 4976.0, 627.0, 55.0, 12.0, 2.0, 0.0]","[40203.975175464184, 4585.391972246652, 466.72506588211826, 30.876325013102118, 7.267200840049452, 0.5808793472830059, 0.2651585108109614]","[1235054100.632157, 140838374.34434447, 14347086.810068479, 944376.354473739, 222342.84009012877, 17843.128978906374, 7501.373261567631]",188838.4
2021-03-29_2021-04-04,59305.16613796316,"[30616.0, 3736.0, 461.0, 39.0, 8.0, 1.0, 0.0]","[30120.583690972515, 3413.321162371668, 347.07205708478443, 22.880235520769315, 5.577280147998813, 0.4110427818241936, 0.16038285691500906]","[912543015.7808521, 103498088.62900041, 10527878.498364437, 689685.0237869638, 168390.23107083878, 12891.13944691088, 4712.690974744578]",134297.8
2021-04-05_2021-04-11,59312.16602650478,"[39576.0, 4656.0, 557.0, 49.0, 14.0, 1.0, 0.0]","[38992.98117386203, 4419.974325696912, 450.9951736716814, 29.633122795191824, 7.140697860395635, 0.6514106739000043, 0.30845379080286084]","[1260325153.0542603, 142466304.81074297, 14513264.264875727, 954485.1425815972, 227913.79552415884, 20066.84402681102, 9968.904901125014]",183362.0
2021-04-12_2021-04-18,59318.83206319419,"[34496.0, 4074.0, 513.0, 45.0, 23.0, 1.0, 0.0]","[33772.98917419259, 3684.1161353506827, 355.8466394956779, 23.512369168954066, 5.526546869498668, 0.38301521299392555, 0.1462899758212173]","[913894240.5764315, 99669047.10315143, 9644408.419111956, 634440.5209281576, 147086.01433033383, 10423.821015432073, 3963.074256607469]",145304.1
2021-04-19_2021-04-25,59326.32490347181,"[29347.0, 3476.0, 413.0, 39.0, 6.0, 1.0, 0.0]","[29137.62959534993, 3337.914435159817, 334.75080656663243, 21.650482438357354, 5.673476480321112, 0.3821164045695515, 0.1805272472483884]","[899121953.679205, 102853984.1290555, 10299219.02851883, 667171.1797131038, 172561.6935009548, 12360.400711270695, 5649.3288854971215]",155045.0
2021-04-26_2021-05-02,59333.15840833324,"[32976.0, 3930.0, 501.0, 51.0, 17.0, 1.0, 0.0]","[32381.19887746391, 3694.6326050695907, 373.0283891065589, 24.50156396680681, 5.937751492703949, 0.4771577546156973, 0.13273101788944633]","[1014250849.347963, 115456918.66507295, 11647376.107219761, 762739.3180977586, 186739.3408819116, 14991.389768224688, 4627.338888190866]",177456.5
2021-05-03_2021-05-09,59340.166622916775,"[36908.0, 4303.0, 513.0, 40.0, 20.0, 3.0, 0.0]","[36298.7602960212, 3997.9605880482986, 389.66797660302973, 24.946706836004743, 5.682244705337246, 0.5217678847968368, 0.20532105765637373]","[1159435223.2467983, 127677597.43682131, 12450022.915800782, 798658.9700172906, 182194.2556707228, 16360.162619273347, 6345.5828994392505]",182127.2
2021-05-10_2021-05-16,59347.16690069436,"[40513.0, 4742.0, 538.0, 63.0, 16.0, 2.0, 0.0]","[40124.39167806854, 4370.877988066935, 426.959652217615, 26.77718740550796, 6.852417167555042, 0.5173898545815995, 0.24170170729443405]","[1307660907.8723602, 142541420.67391, 13907801.815119883, 871769.671687276, 224785.93216937518, 16639.64185358312, 7760.62396663916]",186377.4
2021-05-17_2021-05-23,59354.16703310164,"[39289.0, 4412.0, 509.0, 37.0, 11.0, 0.0, 0.0]","[38916.15844321363, 4272.290590424079, 406.13910489731467, 25.003077853418002, 5.920699715744558, 0.472238019247065, 0.19781742556914794]","[1329023780.5781398, 146017630.8622299, 13893534.643440023, 856723.8114285149, 203272.71774073725, 17086.611172095967, 6427.211824237568]",186259.6
2021-05-24_2021-05-30,59361.16682986069,"[40203.0, 4585.0, 496.0, 39.0, 11.0, 0.0, 0.0]","[40112.58184910293, 4390.912641820995, 417.2977093926013, 25.15708630141407, 6.193641672155335, 0.44415360623739975, 0.19514597172491202]","[1312790087.6496048, 143711511.26909053, 13672783.464150181, 826553.2108501799, 204603.5267285027, 14425.824979214822, 7134.774492080625]",190588.1
2021-05-31_2021-06-06,59368.16688032413,"[38568.0, 4346.0, 440.0, 26.0, 12.0, 1.0, 0.0]","[37981.952673439206, 4178.891255012982, 401.4654661852504, 25.126901844818775, 5.909680407641399, 0.42963085246593474, 0.1965685668581507]","[1240043391.3099039, 136446707.09827673, 13121443.03883293, 822437.1816250499, 193250.85617875302, 14190.65778281829, 6715.479942826179]",187897.4
2021-06-07_2021-06-13,59375.16701273163,"[41533.0, 4844.0, 582.0, 56.0, 14.0, 2.0, 0.0]","[41122.19653168773, 4551.005509029213, 437.84826329838745, 27.875430657638308, 6.298134641058411, 0.4321271282208221, 0.18161910542165327]","[1418857803.6590323, 157280687.55883035, 15198139.46568119, 975689.7737101942, 221113.14747680904, 16303.868595610571, 7188.491227463965]",202158.3
2021-06-14_2021-06-20,59382.16671944457,"[42559.0, 5070.0, 650.0, 70.0, 22.0, 2.0, 1.0]","[41641.083038359364, 4571.479930816598, 431.58313150194806, 26.321967550260528, 5.8607919359900364, 0.4501545796103712, 0.19649501218364032]","[1422053430.8120425, 156213739.96079114, 14772484.092687104, 903808.6419902468, 202156.13774345294, 15989.948517764187, 6808.948449964339]",200725.0
2021-06-21_2021-06-27,59389.16656782394,"[34667.0, 3869.0, 459.0, 41.0, 13.0, 1.0, 0.0]","[34336.410512119124, 3737.440283873687, 346.4901014252179, 20.57311627560575, 4.500375843601833, 0.29498388956576366, 0.1708123306182528]","[1008889774.5550091, 110625770.38769536, 10333112.46466976, 618631.7252623733, 133340.39624651356, 8603.44604657725, 4706.967870500226]",165951.8
2021-06-28_2021-07-04,59396.16681620365,"[39449.0, 4574.0, 542.0, 53.0, 12.0, 2.0, 0.0]","[39271.11758570781, 4339.623905399936, 414.47356637868813, 25.47869569306291, 5.788692738494721, 0.6051760923557414, 0.21890995053160447]","[1298805905.5943005, 143925354.5267171, 13824427.235899653, 858223.5586922421, 196280.0635065572, 20397.253289954864, 7118.0556278054955]",192094.0
2021-07-05_2021-07-11,59403.16680162038,"[38878.0, 4492.0, 461.0, 42.0, 10.0, 0.0, 0.0]","[38666.284375967945, 4280.847441434839, 415.5659384285868, 25.34236801361456, 5.852774747494021, 0.4334724052707283, 0.2158455169943341]","[1283565770.993696, 142150130.51026678, 13837000.103196738, 849329.0480214974, 195363.68369819137, 13817.919819374767, 7319.513365874467]",186777.4
2021-07-12_2021-07-18,59410.16673958351,"[30051.0, 3421.0, 364.0, 33.0, 13.0, 0.0, 0.0]","[30002.51857508716, 3281.3465642976507, 316.3636110840384, 19.665560063822802, 4.371389676783029, 0.31966905673649815, 0.14966859155779128]","[902466446.1051043, 99016446.95930392, 9583610.62840072, 598304.4443652022, 134283.7324183862, 10649.482203305653, 4247.390649628114]",144422.0
2021-07-19_2021-07-25,59417.16679537053,"[28701.0, 3316.0, 348.0, 28.0, 10.0, 0.0, 0.0]","[28310.57662478373, 3159.045508668773, 306.5744121757769, 19.51142382806673, 4.209555371857031, 0.3887952995556956, 0.11792324619090216]","[873579217.3493806, 97275092.38335925, 9448261.783721358, 604465.067229345, 130523.82846190245, 12091.917403682852, 3842.274119802293]",158549.0
2021-07-26_2021-08-01,59424.16695729188,"[18592.0, 2145.0, 281.0, 25.0, 9.0, 0.0, 0.0]","[18167.604385136925, 1991.0045078394671, 190.50492792886345, 11.978074616943065, 2.6803542113035617, 0.31302665229056414, 0.09607042552790258]","[544379689.5635947, 59664905.07978812, 5727844.570787081, 360113.8609937353, 82299.5493993041, 8364.012882716506, 2646.3852697072907]",92250.8
2021-08-02_2021-08-08,59431.16673773149,"[41986.0, 4888.0, 552.0, 46.0, 20.0, 3.0, 1.0]","[41659.778127368154, 4628.492635789586, 446.56476869662174, 27.96674070436801, 6.259464487556735, 0.5519836363046948, 0.18310165161377137]","[1435269039.621821, 159551182.69990444, 15414169.03348512, 967247.9708904409, 217605.22925243035, 19422.04217035361, 6209.741814468424]",202085.9
2021-08-09_2021-08-15,59438.16700601812,"[40534.0, 4630.0, 520.0, 60.0, 7.0, 2.0, 0.0]","[40450.39874771502, 4469.166799957482, 427.7488919227047, 27.131699555393713, 6.3175581469907485, 0.4322218244557457, 0.23674436370832408]","[1364390936.0118303, 150822899.09498134, 14462357.894634454, 914154.3625126855, 211369.53102853688, 15377.219775189104, 8013.156753178029]",196482.1
2021-08-16_2021-08-22,59445.16691111219,"[40675.0, 5119.0, 716.0, 93.0, 32.0, 6.0, 1.0]","[39570.739611072924, 4403.49749286349, 428.0863859175449, 26.062325980955713, 6.052182790280231, 0.43316056350711507, 0.21035309052750412]","[1321906204.543804, 147149617.96748212, 14326347.621591615, 873768.2153987031, 202831.27415187733, 14658.104482053246, 6537.560178398814]",194779.3
2021-08-23_2021-08-29,59452.16672245379,"[37879.0, 4433.0, 518.0, 55.0, 18.0, 2.0, 1.0]","[37053.40186314955, 4094.792511628471, 395.46997734221156, 24.652186839768664, 5.608900884241644, 0.45645713895013695, 0.2549209740701695]","[1191482827.9919229, 131698563.0137638, 12732996.878167009, 792681.0210178978, 181736.1348357643, 14571.220525817349, 7666.073379217657]",176332.2
2021-08-30_2021-09-05,59459.16678854192,"[42566.0, 5048.0, 637.0, 69.0, 20.0, 1.0, 1.0]","[41347.54912005585, 4595.771567426934, 449.78588849302093, 29.08687510463127, 6.747687402476866, 0.49637118327759483, 0.29306095965214646]","[1423960919.4857538, 158146375.6576244, 15464316.319172408, 1000443.5510856966, 232269.00331683338, 16977.28668725407, 9166.78174815981]",202111.4
2021-09-06_2021-09-12,59466.167044907554,"[37560.0, 4312.0, 464.0, 60.0, 12.0, 2.0, 1.0]","[36781.03847770146, 4059.497839532491, 398.14589301062153, 24.791785805726384, 5.762504430731362, 0.4481884351217121, 0.1940280697082131]","[1212749656.1737666, 133986347.46785083, 13136068.479953447, 818193.0066335561, 190334.8215166527, 14929.146504145327, 7026.561390668984]",183356.8
2021-09-13_2021-09-19,59473.16697187504,"[20515.0, 2477.0, 381.0, 49.0, 17.0, 3.0, 0.0]","[19903.294681438383, 2175.654477558577, 210.32375943456162, 13.280328474135809, 3.0514012742394407, 0.2162638297043948, 0.11265244998281847]","[590377319.1034323, 65067174.42021318, 6335258.591764097, 398641.65336321265, 90671.80346277873, 6874.590190663464, 3554.584100798872]",92427.0
2021-09-20_2021-09-26,59480.166958217735,"[19980.0, 2475.0, 328.0, 33.0, 9.0, 2.0, 0.0]","[19869.231992365894, 2276.2896855003883, 228.68431450307173, 15.307969481339677, 3.5057760678016194, 0.2419449138233874, 0.11415969949983835]","[618551016.855845, 70350147.32072896, 7055674.172319876, 472127.0869825294, 109380.3459649026, 7419.907717520167, 3581.1244918225098]",118231.3
2021-09-27_2021-10-03,59487.24986284722,"[37800.0, 4563.0, 577.0, 66.0, 27.0, 4.0, 0.0]","[37607.43455981796, 4217.305935235807, 412.322538670914, 26.23584968997618, 6.099153937613758, 0.46302271808079243, 0.1976442299659873]","[1215212132.8283663, 136413901.07114583, 13330648.098661566, 847591.8523232491, 197448.05212720358, 15130.729323538832, 6468.307162492446]",184041.8
2021-10-04_2021-10-10,59494.25005740744,"[36744.0, 4340.0, 537.0, 48.0, 20.0, 4.0, 0.0]","[36450.04726000328, 4073.2619651721184, 399.77886552111585, 26.12879639105975, 5.988161259511155, 0.5024068553834901, 0.26153884179499476]","[1172949521.2499506, 131328677.69869705, 12883853.004465234, 838767.76975304, 193926.09170663214, 16326.08178554463, 8529.982127242014]",177296.4
