mjd,flux,flux_err
54687.49998842592,1.1809882e-07,4.289548e-08
54694.49998842592,1.5262034e-07,4.1568402e-08
54701.49998842592,2.0434359e-07,4.1627086e-08
54708.49998842592,1.797099e-07,3.007431e-08
54715.49998842592,1.9700552e-07,3.5597367e-08
54722.49998842592,1.4741539e-07,3.1023625e-08
54729.49998842592,1.3070265e-07,3.0232556e-08
54736.49998842592,2.0459541e-07,4.8007852e-08
54743.49998842592,1.8020144e-07,4.4682178e-08
54750.49998842592,1.3048877e-07,3.6187487e-08
54757.49998842592,1.4809301e-07,3.394869e-08
54764.49998842592,1.8133746e-07,3.244542e-08
54771.49998842592,9.318072e-08,2.2946995e-08
54778.49998842592,1.1679207e-07,2.5674002e-08
54785.49998842592,1.1108134e-07,2.904827e-08
54792.49998842592,2.1719765e-07,4.755377e-08
54799.49998842592,1.9367607e-07,4.037047e-08
54806.49998842592,1.5278331e-07,3.3763417e-08
54813.49998842592,1.5255905e-07,2.9826648e-08
54820.49998842592,1.453905e-07,2.9744877e-08
54827.49998842592,1.10056476e-07,2.6752845e-08
54834.499976851854,1.2139098e-07,2.7606584e-08
54841.499976851854,1.07511056e-07,2.8267504e-08
54848.499976851854,1.2942485e-07,3.3372228e-08
54855.499976851854,1.8452607e-07,4.1485748e-08
54862.499976851854,1.241672e-07,3.0292814e-08
54869.499976851854,1.2245786e-07,2.7531259e-08
54876.499976851854,1.2973781e-07,2.918086e-08
54883.499976851854,7.441473e-08,2.1010594e-08
54890.499976851854,1.0301758e-07,2.988015e-08
54897.499976851854,8.881391e-08,2.3338146e-08
54904.499976851854,8.998504e-08,3.2984403e-08
54911.499976851854,9.614247e-08,2.7582812e-08
54918.499976851854,9.0229676e-08,3.0165335e-08
54925.499976851854,9.714087e-08,2.6810538e-08
54932.499976851854,1.294892e-07,3.0784978e-08
54939.499976851854,1.2182012e-07,2.5791113e-08
54946.499976851854,1.7198529e-07,3.7277992e-08
54953.499976851854,9.062676e-08,2.4615268e-08
54960.499976851854,1.8673481e-07,5.580442e-08
54967.499976851854,1.4874215e-07,2.9068413e-08
54974.499976851854,1.9799157e-07,3.4131972e-08
54981.499976851854,1.8322933e-07,3.260396e-08
54988.499976851854,1.494834e-07,3.1976253e-08
54995.499976851854,1.3194872e-07,2.7895048e-08
55002.499976851854,1.6008396e-07,4.0319488e-08
55009.499976851854,1.658378e-07,3.7596568e-08
55016.499976851854,3.5424728e-07,6.5383375e-08
55023.499976851854,1.0814755e-07,3.451542e-08
55030.499976851854,1.640816e-07,3.677227e-08
55037.499976851854,1.8618125e-07,4.0408594e-08
55044.499976851854,1.4901133e-07,4.5754803e-08
55051.499976851854,1.7669706e-07,4.1602725e-08
55058.499976851854,1.8971318e-07,4.716114e-08
55065.499976851854,2.045615e-07,5.5748163e-08
55070.499976851854,1.4668308e-07,3.9088533e-08
55077.499976851854,1.8852478e-07,4.5549804e-08
55084.499976851854,1.4916702e-07,4.0081478e-08
55091.499976851854,2.2664686e-07,6.469706e-08
55098.499976851854,2.4565907e-07,6.173656e-08
55105.499976851854,1.8695317e-07,3.769164e-08
55112.499976851854,2.6927418e-07,5.3384795e-08
55119.499976851854,2.43356e-07,4.34953e-08
55126.499976851854,1.5359284e-07,3.4017425e-08
55133.499976851854,2.950994e-07,5.2484005e-08
55140.499976851854,2.7794925e-07,6.55748e-08
55147.499976851854,1.9528508e-07,5.1236846e-08
55154.499976851854,1.5036184e-07,4.5809493e-08
55161.499976851854,1.7401712e-07,3.800629e-08
55168.499976851854,1.936218e-07,4.2653323e-08
55175.499976851854,1.7980072e-07,4.4122647e-08
55182.499976851854,2.0115584e-07,3.93876e-08
55189.499976851854,2.4450318e-07,4.320864e-08
55196.499976851854,3.5665587e-07,6.5789706e-08
55203.499976851854,2.3446802e-07,4.2865885e-08
55210.499976851854,2.4938498e-07,4.5963287e-08
55217.499976851854,1.561477e-07,3.675939e-08
55224.499976851854,1.2823382e-07,3.2728042e-08
55231.499976851854,2.2228797e-07,4.4422926e-08
55238.499976851854,1.413425e-07,3.4948634e-08
55245.499976851854,2.793644e-07,4.6880647e-08
55252.499976851854,1.0670487e-07,3.357472e-08
55259.499976851854,1.3003958e-07,3.4714006e-08
55266.499976851854,1.8255207e-07,4.501664e-08
55273.499976851854,1.5420244e-07,3.3993558e-08
55280.499976851854,2.0536058e-07,4.2068837e-08
55287.499976851854,2.1032663e-07,4.5006658e-08
55294.499976851854,1.9393205e-07,4.9648058e-08
55301.499976851854,2.1360685e-07,6.27257e-08
55308.499976851854,3.0244323e-07,6.127487e-08
55315.499976851854,4.221379e-07,5.96554e-08
55322.499976851854,1.9532332e-07,4.1469228e-08
55329.499976851854,2.4252444e-07,4.551114e-08
55336.499976851854,1.5427014e-07,3.7256132e-08
55343.499976851854,2.0487418e-07,4.075344e-08
55350.499976851854,1.6327262e-07,3.9343544e-08
55357.499976851854,2.9840245e-07,6.439926e-08
55364.499976851854,1.7570275e-07,4.116539e-08
55371.499976851854,3.528043e-07,6.2010905e-08
55378.499976851854,1.8599177e-07,4.5144905e-08
55385.499976851854,1.991724e-07,4.111691e-08
55392.499976851854,1.1848509e-07,3.9223167e-08
55399.499976851854,1.2995278e-07,4.26028e-08
55406.499976851854,1.1664751e-07,4.6083695e-08
55413.499976851854,1.07077625e-07,4.6060816e-08
55420.499976851854,1.6206397e-07,4.6557584e-08
55427.499976851854,9.5361585e-08,3.207936e-08
55434.499976851854,1.811272e-07,4.592767e-08
55441.499976851854,1.8303861e-07,4.6075723e-08
55448.499976851854,1.119912e-07,3.2523456e-08
55455.499976851854,1.0185392e-07,3.317198e-08
55462.499976851854,2.1125922e-07,5.4072714e-08
55469.499976851854,1.9912201e-07,5.2358676e-08
55476.499976851854,2.2826603e-07,4.4930008e-08
55483.499976851854,2.5240197e-07,4.9203138e-08
55490.499976851854,2.1518366e-07,3.88992e-08
55497.499976851854,2.0871121e-07,4.2358383e-08
55504.499976851854,1.7417644e-07,4.0613283e-08
55511.499976851854,1.3574697e-07,3.5156404e-08
55518.499976851854,9.5399855e-08,2.9671417e-08
55525.499976851854,2.6522528e-07,5.9529327e-08
55532.499976851854,1.14783276e-07,2.8270254e-08
55539.499976851854,1.6791967e-07,3.5881783e-08
55546.499976851854,1.609245e-07,4.3669893e-08
55553.499976851854,1.4576905e-07,3.3681527e-08
55560.499976851854,2.396654e-07,5.7565707e-08
55567.499976851854,1.9397017e-07,4.6154366e-08
55574.499976851854,1.7346949e-07,4.3328072e-08
55581.499976851854,2.9992253e-07,5.340789e-08
55588.499976851854,1.7326764e-07,4.0863608e-08
55595.499976851854,2.4481315e-07,5.110907e-08
55602.499976851854,2.0592054e-07,4.8306966e-08
55609.499976851854,1.9474558e-07,4.6322658e-08
55616.499976851854,2.2167039e-07,4.4414072e-08
55623.499976851854,2.4611245e-07,5.0518043e-08
55630.499976851854,3.0828735e-07,5.9377076e-08
55637.499976851854,2.165553e-07,4.76161e-08
55644.499976851854,2.635568e-07,4.5580215e-08
55651.499976851854,2.4450145e-07,4.4886136e-08
55658.499976851854,1.7413495e-07,3.779364e-08
55665.499976851854,1.9170136e-07,4.3309996e-08
55672.499976851854,1.650566e-07,5.264238e-08
55679.499976851854,1.01574116e-07,4.3194824e-08
55686.499976851854,2.9771525e-07,5.7901925e-08
55693.499976851854,1.6348926e-07,3.6776658e-08
55700.499976851854,1.862862e-07,4.267338e-08
55707.499976851854,1.5594456e-07,3.9873143e-08
55714.499976851854,8.666902e-08,2.8029746e-08
55721.499976851854,1.15990204e-07,3.301787e-08
55728.499976851854,5.4317002e-08,2.7293437e-08
55735.499976851854,1.2796163e-07,3.9405244e-08
55742.499976851854,9.601634e-08,3.0311092e-08
55749.499976851854,1.1961863e-07,2.9791911e-08
55756.499976851854,1.7180584e-07,4.401739e-08
55763.499976851854,6.643886e-08,3.132385e-08
55770.499976851854,1.883286e-07,4.5950483e-08
55777.499976851854,2.3228645e-07,5.5846737e-08
55784.499976851854,1.15946634e-07,4.029757e-08
55791.499976851854,1.5419984e-07,4.5255064e-08
55798.499976851854,1.9410275e-07,3.9528228e-08
55805.499976851854,1.525831e-07,3.8961268e-08
55812.499976851854,2.0947859e-07,3.2519672e-08
55819.499976851854,2.2227336e-07,4.208471e-08
55826.499976851854,1.7900595e-07,4.05441e-08
55833.499976851854,1.6731309e-07,3.922307e-08
55840.499976851854,1.3855424e-07,3.661038e-08
55847.499976851854,1.6353208e-07,3.305996e-08
55854.499976851854,1.4071537e-07,3.4580715e-08
55861.499976851854,2.100447e-07,3.9046363e-08
55868.499976851854,2.343284e-07,3.9431402e-08
55875.499976851854,2.425505e-07,4.206956e-08
55882.499976851854,2.2370295e-07,4.421078e-08
55889.499976851854,1.540865e-07,4.078982e-08
55896.499976851854,1.6740488e-07,3.3342587e-08
55903.499976851854,1.538618e-07,4.0037442e-08
55910.499976851854,1.2877719e-07,3.5653965e-08
55917.499976851854,2.0446421e-07,4.4701746e-08
55924.499976851854,1.5102754e-07,3.5019234e-08
