source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
4C_p42d22,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,1,2.6,3.0,0.05286,0.04812,1e-12,5.28600000e-14,4.81200000e-14,1.71,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-08_2021-03-14/fit.log
4C_p42d22,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,1,2.6,3.0,0.06147,0.05758,1e-12,6.14700000e-14,5.75800000e-14,1.38,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-15_2021-03-21/fit.log
4C_p42d22,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,1,2.6,3.0,1e-05,0.07745,1e-12,1.00000000e-17,7.74500000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-22_2021-03-28/fit.log
4C_p42d22,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,1,2.6,3.0,0,0.03262,1e-12,0.00000000e+00,3.26200000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-03-29_2021-04-04/fit.log
4C_p42d22,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,1,2.6,3.0,0.05917,0.04228,1e-12,5.91700000e-14,4.22800000e-14,2.46,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-05_2021-04-11/fit.log
4C_p42d22,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,1,2.6,3.0,0.01368,0.02453,1e-12,1.36800000e-14,2.45300000e-14,0.48,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-12_2021-04-18/fit.log
4C_p42d22,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,1,2.6,3.0,0.00292,0.0905,1e-12,2.92000000e-15,9.05000000e-14,0.01,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-19_2021-04-25/fit.log
4C_p42d22,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,1,2.6,3.0,0.03275,0.04586,1e-12,3.27500000e-14,4.58600000e-14,0.54,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-04-26_2021-05-02/fit.log
4C_p42d22,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,1,2.6,3.0,0.00961,0.03287,1e-12,9.61000000e-15,3.28700000e-14,0.09,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-05-03_2021-05-09/fit.log
4C_p42d22,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,1,2.6,3.0,0.08692,0.04779,1e-12,8.69200000e-14,4.77900000e-14,3.91,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/4C_p42d22/week/2021-05-10_2021-05-16/fit.log
