source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
BLLacertae,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,1,2.6,3.0,0.11694,0.07747,1e-12,1.16940000e-13,7.74700000e-14,2.59,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-08_2021-03-14/fit.log
BLLacertae,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,1,2.6,3.0,0.00941,0.09907,1e-12,9.41000000e-15,9.90700000e-14,0.02,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-15_2021-03-21/fit.log
BLLacertae,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,1,2.6,3.0,0.22426,0.09238,1e-12,2.24260000e-13,9.23800000e-14,6.98,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-22_2021-03-28/fit.log
BLLacertae,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,1,2.6,3.0,0.04682,0.04772,1e-12,4.68200000e-14,4.77200000e-14,1.55,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-03-29_2021-04-04/fit.log
BLLacertae,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,1,2.6,3.0,0.03817,0.05115,1e-12,3.81700000e-14,5.11500000e-14,0.6,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-05_2021-04-11/fit.log
BLLacertae,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,1,2.6,3.0,0.17504,0.08693,1e-12,1.75040000e-13,8.69300000e-14,4.99,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-12_2021-04-18/fit.log
BLLacertae,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,1,2.6,3.0,0.04464,0.05264,1e-12,4.46400000e-14,5.26400000e-14,0.79,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-19_2021-04-25/fit.log
BLLacertae,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,1,2.6,3.0,0.20668,0.05426,1e-12,2.06680000e-13,5.42600000e-14,21.23,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-04-26_2021-05-02/fit.log
BLLacertae,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,1,2.6,3.0,0.04482,0.04718,1e-12,4.48200000e-14,4.71800000e-14,0.99,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-03_2021-05-09/fit.log
BLLacertae,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,1,2.6,3.0,0.10427,0.04618,1e-12,1.04270000e-13,4.61800000e-14,6.76,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-10_2021-05-16/fit.log
BLLacertae,week,2021-05-17_2021-05-23,59354.50000000,2021-05-17,2021-05-23,1,2.6,3.0,0.03665,0.04911,1e-12,3.66500000e-14,4.91100000e-14,0.6,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop10_2021-05-17_2021-05-23.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-17_2021-05-23/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-17_2021-05-23/fit.log
BLLacertae,week,2021-05-24_2021-05-30,59361.50000000,2021-05-24,2021-05-30,1,2.6,3.0,0.0208,0.03677,1e-12,2.08000000e-14,3.67700000e-14,0.36,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop11_2021-05-24_2021-05-30.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-24_2021-05-30/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-24_2021-05-30/fit.log
BLLacertae,week,2021-05-31_2021-06-06,59368.50000000,2021-05-31,2021-06-06,1,2.6,3.0,0.1234,0.04631,1e-12,1.23400000e-13,4.63100000e-14,10.15,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop12_2021-05-31_2021-06-06.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-31_2021-06-06/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-05-31_2021-06-06/fit.log
BLLacertae,week,2021-06-07_2021-06-13,59375.50000000,2021-06-07,2021-06-13,1,2.6,3.0,0.03441,0.03975,1e-12,3.44100000e-14,3.97500000e-14,0.82,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop13_2021-06-07_2021-06-13.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-07_2021-06-13/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-07_2021-06-13/fit.log
BLLacertae,week,2021-06-14_2021-06-20,59382.50000000,2021-06-14,2021-06-20,1,2.6,3.0,0.0195,0.04345,1e-12,1.95000000e-14,4.34500000e-14,0.21,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop14_2021-06-14_2021-06-20.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-14_2021-06-20/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-14_2021-06-20/fit.log
BLLacertae,week,2021-06-21_2021-06-27,59389.50000000,2021-06-21,2021-06-27,1,2.6,3.0,0,0.01502,1e-12,0.00000000e+00,1.50200000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop15_2021-06-21_2021-06-27.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-21_2021-06-27/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-21_2021-06-27/fit.log
BLLacertae,week,2021-06-28_2021-07-04,59396.50000000,2021-06-28,2021-07-04,1,2.6,3.0,0.04176,0.03881,1e-12,4.17600000e-14,3.88100000e-14,1.45,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop16_2021-06-28_2021-07-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-28_2021-07-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-06-28_2021-07-04/fit.log
BLLacertae,week,2021-07-05_2021-07-11,59403.50000000,2021-07-05,2021-07-11,1,2.6,3.0,0.03464,0.04303,1e-12,3.46400000e-14,4.30300000e-14,0.7,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop17_2021-07-05_2021-07-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-05_2021-07-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-05_2021-07-11/fit.log
BLLacertae,week,2021-07-12_2021-07-18,59410.50000000,2021-07-12,2021-07-18,1,2.6,3.0,0.01062,0.0486,1e-12,1.06200000e-14,4.86000000e-14,0.05,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop18_2021-07-12_2021-07-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-12_2021-07-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-12_2021-07-18/fit.log
BLLacertae,week,2021-07-19_2021-07-25,59417.50000000,2021-07-19,2021-07-25,1,2.6,3.0,0,0.03308,1e-12,0.00000000e+00,3.30800000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop19_2021-07-19_2021-07-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-19_2021-07-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-19_2021-07-25/fit.log
BLLacertae,week,2021-07-26_2021-08-01,59424.50000000,2021-07-26,2021-08-01,1,2.6,3.0,0.01186,0.09043,1e-12,1.18600000e-14,9.04300000e-14,0.03,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop20_2021-07-26_2021-08-01.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-26_2021-08-01/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-07-26_2021-08-01/fit.log
BLLacertae,week,2021-08-02_2021-08-08,59431.50000000,2021-08-02,2021-08-08,1,2.6,3.0,0.04031,0.05507,1e-12,4.03100000e-14,5.50700000e-14,0.55,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop21_2021-08-02_2021-08-08.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-02_2021-08-08/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-02_2021-08-08/fit.log
BLLacertae,week,2021-08-09_2021-08-15,59438.50000000,2021-08-09,2021-08-15,1,2.6,3.0,0.1581,0.04895,1e-12,1.58100000e-13,4.89500000e-14,13.74,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop22_2021-08-09_2021-08-15.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-09_2021-08-15/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-09_2021-08-15/fit.log
BLLacertae,week,2021-08-16_2021-08-22,59445.50000000,2021-08-16,2021-08-22,1,2.6,3.0,0.03721,0.04359,1e-12,3.72100000e-14,4.35900000e-14,0.79,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop23_2021-08-16_2021-08-22.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-16_2021-08-22/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-16_2021-08-22/fit.log
BLLacertae,week,2021-08-23_2021-08-29,59452.50000000,2021-08-23,2021-08-29,1,2.6,3.0,0.09598,0.04901,1e-12,9.59800000e-14,4.90100000e-14,4.79,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop24_2021-08-23_2021-08-29.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-23_2021-08-29/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-23_2021-08-29/fit.log
BLLacertae,week,2021-08-30_2021-09-05,59459.50000000,2021-08-30,2021-09-05,1,2.6,3.0,0.01984,0.04091,1e-12,1.98400000e-14,4.09100000e-14,0.25,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop25_2021-08-30_2021-09-05.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-30_2021-09-05/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/BLLacertae/week/2021-08-30_2021-09-05/fit.log
