source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
IC310,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,1,2.6,3.0,0,0.02854,1e-12,0.00000000e+00,2.85400000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-08_2021-03-14/fit.log
IC310,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,1,2.6,3.0,0.01025,0.15731,1e-12,1.02500000e-14,1.57310000e-13,0.02,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-15_2021-03-21/fit.log
IC310,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,1,2.6,3.0,0,0.01816,1e-12,0.00000000e+00,1.81600000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-22_2021-03-28/fit.log
IC310,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,1,2.6,3.0,0,0.02655,1e-12,0.00000000e+00,2.65500000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-03-29_2021-04-04/fit.log
IC310,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,1,2.6,3.0,0,0.02182,1e-12,0.00000000e+00,2.18200000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-05_2021-04-11/fit.log
IC310,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,1,2.6,3.0,0.09998,0.07586,1e-12,9.99800000e-14,7.58600000e-14,2.45,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-12_2021-04-18/fit.log
IC310,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,1,2.6,3.0,0,0.02041,1e-12,0.00000000e+00,2.04100000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-19_2021-04-25/fit.log
IC310,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,1,2.6,3.0,0.00276,0.12746,1e-12,2.76000000e-15,1.27460000e-13,0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-04-26_2021-05-02/fit.log
IC310,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,1,2.6,3.0,0,0.06923,1e-12,0.00000000e+00,6.92300000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-03_2021-05-09/fit.log
IC310,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,1,2.6,3.0,0.015,0.02737,1e-12,1.50000000e-14,2.73700000e-14,0.36,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-10_2021-05-16/fit.log
IC310,week,2021-05-17_2021-05-23,59354.50000000,2021-05-17,2021-05-23,1,2.6,3.0,0,0.06677,1e-12,0.00000000e+00,6.67700000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop10_2021-05-17_2021-05-23.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-17_2021-05-23/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-17_2021-05-23/fit.log
IC310,week,2021-05-24_2021-05-30,59361.50000000,2021-05-24,2021-05-30,1,2.6,3.0,0,0.01982,1e-12,0.00000000e+00,1.98200000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop11_2021-05-24_2021-05-30.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-24_2021-05-30/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-24_2021-05-30/fit.log
IC310,week,2021-05-31_2021-06-06,59368.50000000,2021-05-31,2021-06-06,1,2.6,3.0,0.03832,0.0398,1e-12,3.83200000e-14,3.98000000e-14,1.03,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop12_2021-05-31_2021-06-06.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-31_2021-06-06/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-05-31_2021-06-06/fit.log
IC310,week,2021-06-07_2021-06-13,59375.50000000,2021-06-07,2021-06-13,1,2.6,3.0,0,0.08098,1e-12,0.00000000e+00,8.09800000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop13_2021-06-07_2021-06-13.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-07_2021-06-13/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-07_2021-06-13/fit.log
IC310,week,2021-06-14_2021-06-20,59382.50000000,2021-06-14,2021-06-20,1,2.6,3.0,0.002,0.05894,1e-12,2.00000000e-15,5.89400000e-14,0.01,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop14_2021-06-14_2021-06-20.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-14_2021-06-20/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-14_2021-06-20/fit.log
IC310,week,2021-06-21_2021-06-27,59389.50000000,2021-06-21,2021-06-27,1,2.6,3.0,0.01564,0.04363,1e-12,1.56400000e-14,4.36300000e-14,0.13,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop15_2021-06-21_2021-06-27.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-21_2021-06-27/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-06-21_2021-06-27/fit.log
