source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
M87,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,1,2.6,3.0,0.06031,0.05934,1e-12,6.03100000e-14,5.93400000e-14,1.16,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-08_2021-03-14/fit.log
M87,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,1,2.6,3.0,0.01751,0.06341,1e-12,1.75100000e-14,6.34100000e-14,0.08,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-15_2021-03-21/fit.log
M87,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,1,2.6,3.0,0.06244,0.04806,1e-12,6.24400000e-14,4.80600000e-14,1.99,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-22_2021-03-28/fit.log
M87,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,1,2.6,3.0,0,0.04605,1e-12,0.00000000e+00,4.60500000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-03-29_2021-04-04/fit.log
M87,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,1,2.6,3.0,0,0.05859,1e-12,0.00000000e+00,5.85900000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-05_2021-04-11/fit.log
M87,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,1,2.6,3.0,0,0.11445,1e-12,0.00000000e+00,1.14450000e-13,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-12_2021-04-18/fit.log
M87,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,1,2.6,3.0,0.0849,0.06198,1e-12,8.49000000e-14,6.19800000e-14,2.14,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-19_2021-04-25/fit.log
M87,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,1,2.6,3.0,0,0.33209,1e-12,0.00000000e+00,3.32090000e-13,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-04-26_2021-05-02/fit.log
M87,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,1,2.6,3.0,0.09458,0.05756,1e-12,9.45800000e-14,5.75600000e-14,3.28,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-05-03_2021-05-09/fit.log
M87,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,1,2.6,3.0,0.00656,0.07184,1e-12,6.56000000e-15,7.18400000e-14,0.02,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/M87/week/2021-05-10_2021-05-16/fit.log
