source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
NGC1275,week,2021-03-08_2021-03-14,59284.50000000,2021-03-08,2021-03-14,1,2.6,3.0,1e-05,0.1003,1e-12,1.00000000e-17,1.00300000e-13,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop0_2021-03-08_2021-03-14.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-08_2021-03-14/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-08_2021-03-14/fit.log
NGC1275,week,2021-03-15_2021-03-21,59291.50000000,2021-03-15,2021-03-21,1,2.6,3.0,0.15242,0.0885,1e-12,1.52420000e-13,8.85000000e-14,4.1,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop1_2021-03-15_2021-03-21.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-15_2021-03-21/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-15_2021-03-21/fit.log
NGC1275,week,2021-03-22_2021-03-28,59298.50000000,2021-03-22,2021-03-28,1,2.6,3.0,0.02302,0.03038,1e-12,2.30200000e-14,3.03800000e-14,0.79,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop2_2021-03-22_2021-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-22_2021-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-22_2021-03-28/fit.log
NGC1275,week,2021-03-29_2021-04-04,59305.50000000,2021-03-29,2021-04-04,1,2.6,3.0,0,0.03089,1e-12,0.00000000e+00,3.08900000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop3_2021-03-29_2021-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-29_2021-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-03-29_2021-04-04/fit.log
NGC1275,week,2021-04-05_2021-04-11,59312.50000000,2021-04-05,2021-04-11,1,2.6,3.0,0,0.01732,1e-12,0.00000000e+00,1.73200000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop4_2021-04-05_2021-04-11.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-05_2021-04-11/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-05_2021-04-11/fit.log
NGC1275,week,2021-04-12_2021-04-18,59319.50000000,2021-04-12,2021-04-18,1,2.6,3.0,0.05012,0.0662,1e-12,5.01200000e-14,6.62000000e-14,0.73,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop5_2021-04-12_2021-04-18.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-12_2021-04-18/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-12_2021-04-18/fit.log
NGC1275,week,2021-04-19_2021-04-25,59326.50000000,2021-04-19,2021-04-25,1,2.6,3.0,0.01406,0.03654,1e-12,1.40600000e-14,3.65400000e-14,0.16,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop6_2021-04-19_2021-04-25.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-19_2021-04-25/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-19_2021-04-25/fit.log
NGC1275,week,2021-04-26_2021-05-02,59333.50000000,2021-04-26,2021-05-02,1,2.6,3.0,0.04622,0.03678,1e-12,4.62200000e-14,3.67800000e-14,1.92,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop7_2021-04-26_2021-05-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-26_2021-05-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-04-26_2021-05-02/fit.log
NGC1275,week,2021-05-03_2021-05-09,59340.50000000,2021-05-03,2021-05-09,1,2.6,3.0,0,0.15137,1e-12,0.00000000e+00,1.51370000e-13,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop8_2021-05-03_2021-05-09.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-05-03_2021-05-09/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-05-03_2021-05-09/fit.log
NGC1275,week,2021-05-10_2021-05-16,59347.50000000,2021-05-10,2021-05-16,1,2.6,3.0,0,0.02035,1e-12,0.00000000e+00,2.03500000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop9_2021-05-10_2021-05-16.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-05-10_2021-05-16/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/NGC1275/week/2021-05-10_2021-05-16/fit.log
